{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0325608990018846, 'speedup_best_over_ref': 1.0325608990018846, 'xsmm_custom_avg': 0.9551333333333333, 'xsmm_custom_best': 0.9551333333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.9862333333333333, 'xsmm_reference_best': 0.9862333333333333, 'xsmm_reference_cpu_freq': 2.999911, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.1218579679492393, 'speedup_best_over_ref': 1.1218579679492393, 'xsmm_custom_avg': 0.40976666666666667, 'xsmm_custom_best': 0.40976666666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.4597, 'xsmm_reference_best': 0.4597, 'xsmm_reference_cpu_freq': 2.999943, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0478104575163398, 'speedup_best_over_ref': 1.0478104575163398, 'xsmm_custom_avg': 1.02, 'xsmm_custom_best': 1.02, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.0687666666666666, 'xsmm_reference_best': 1.0687666666666666, 'xsmm_reference_cpu_freq': 2.999939, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0954390521019315, 'speedup_best_over_ref': 1.0954390521019315, 'xsmm_custom_avg': 0.4107333333333333, 'xsmm_custom_best': 0.4107333333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.4499333333333333, 'xsmm_reference_best': 0.4499333333333333, 'xsmm_reference_cpu_freq': 2.999974, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.024843416494629, 'speedup_best_over_ref': 1.024843416494629, 'xsmm_custom_avg': 0.9526333333333333, 'xsmm_custom_best': 0.9526333333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.9763000000000001, 'xsmm_reference_best': 0.9763000000000001, 'xsmm_reference_cpu_freq': 2.99999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0224168234097006, 'speedup_best_over_ref': 1.0224168234097006, 'xsmm_custom_avg': 2.1620666666666666, 'xsmm_custom_best': 2.1620666666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.2105333333333332, 'xsmm_reference_best': 2.2105333333333332, 'xsmm_reference_cpu_freq': 2.999947, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.008551245507498, 'speedup_best_over_ref': 1.008551245507498, 'xsmm_custom_avg': 1.8827666666666665, 'xsmm_custom_best': 1.8827666666666665, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.898866666666667, 'xsmm_reference_best': 1.898866666666667, 'xsmm_reference_cpu_freq': 2.99993, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9955730776298425, 'speedup_best_over_ref': 0.9955730776298425, 'xsmm_custom_avg': 3.990733333333333, 'xsmm_custom_best': 3.990733333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 3.9730666666666665, 'xsmm_reference_best': 3.9730666666666665, 'xsmm_reference_cpu_freq': 2.999929, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.8744847208531229, 'speedup_best_over_ref': 0.8744847208531229, 'xsmm_custom_avg': 2.9757333333333333, 'xsmm_custom_best': 2.9757333333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.602233333333333, 'xsmm_reference_best': 2.602233333333333, 'xsmm_reference_cpu_freq': 2.999886, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0512010446613802, 'speedup_best_over_ref': 1.0512010446613802, 'xsmm_custom_avg': 3.1653000000000002, 'xsmm_custom_best': 3.1653000000000002, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 3.327366666666667, 'xsmm_reference_best': 3.327366666666667, 'xsmm_reference_cpu_freq': 2.999938, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0659017981473633, 'speedup_best_over_ref': 1.0659017981473633, 'xsmm_custom_avg': 2.2022666666666666, 'xsmm_custom_best': 2.2022666666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.3474, 'xsmm_reference_best': 2.3474, 'xsmm_reference_cpu_freq': 2.999977, 'xsmm_reference_kernel_type': 'wide-sparse'}
