{'K_BLOCKING=0_avg': 1.0028000000000001, 'K_BLOCKING=0_best': 1.0028000000000001, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 0.9743999999999999, 'K_BLOCKING=112_best': 0.9743999999999999, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 0.9808, 'K_BLOCKING=128_best': 0.9808, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 0.9513999999999999, 'K_BLOCKING=16_best': 0.9513999999999999, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 1.0095, 'K_BLOCKING=32_best': 1.0095, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 0.985, 'K_BLOCKING=48_best': 0.985, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 0.9388, 'K_BLOCKING=64_best': 0.9388, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 0.9537000000000001, 'K_BLOCKING=80_best': 0.9537000000000001, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 0.9832000000000001, 'K_BLOCKING=96_best': 0.9832000000000001, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 33600, 'xsmm_reference_avg': 0.9705999999999999, 'xsmm_reference_best': 0.9705999999999999, 'xsmm_reference_cpu_freq': 2.999902, 'xsmm_reference_kernel_type': 'sparse'}
{'K_BLOCKING=0_avg': 0.4766, 'K_BLOCKING=0_best': 0.4766, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 0.4686, 'K_BLOCKING=112_best': 0.4686, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 0.47309999999999997, 'K_BLOCKING=128_best': 0.47309999999999997, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 0.7361, 'K_BLOCKING=16_best': 0.7361, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 0.47119999999999995, 'K_BLOCKING=32_best': 0.47119999999999995, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 0.4748, 'K_BLOCKING=48_best': 0.4748, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 0.47859999999999997, 'K_BLOCKING=64_best': 0.47859999999999997, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 0.5325, 'K_BLOCKING=80_best': 0.5325, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 0.4806, 'K_BLOCKING=96_best': 0.4806, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 33600, 'xsmm_reference_avg': 0.5158, 'xsmm_reference_best': 0.5158, 'xsmm_reference_cpu_freq': 2.999834, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 1.1419000000000001, 'K_BLOCKING=0_best': 1.1419000000000001, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 1.0897000000000001, 'K_BLOCKING=112_best': 1.0897000000000001, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 1.1372, 'K_BLOCKING=128_best': 1.1372, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 3.5243, 'K_BLOCKING=16_best': 3.5243, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 1.0424, 'K_BLOCKING=32_best': 1.0424, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 1.0263, 'K_BLOCKING=48_best': 1.0263, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 1.0389, 'K_BLOCKING=64_best': 1.0389, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 1.3195999999999999, 'K_BLOCKING=80_best': 1.3195999999999999, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 1.0469, 'K_BLOCKING=96_best': 1.0469, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 33600, 'xsmm_reference_avg': 1.1718, 'xsmm_reference_best': 1.1718, 'xsmm_reference_cpu_freq': 2.999777, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 0.45899999999999996, 'K_BLOCKING=0_best': 0.45899999999999996, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 0.46909999999999996, 'K_BLOCKING=112_best': 0.46909999999999996, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 0.47640000000000005, 'K_BLOCKING=128_best': 0.47640000000000005, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 0.6395, 'K_BLOCKING=16_best': 0.6395, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 0.4389, 'K_BLOCKING=32_best': 0.4389, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 0.47000000000000003, 'K_BLOCKING=48_best': 0.47000000000000003, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 0.4525, 'K_BLOCKING=64_best': 0.4525, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 0.4763, 'K_BLOCKING=80_best': 0.4763, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 0.4572, 'K_BLOCKING=96_best': 0.4572, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 33600, 'xsmm_reference_avg': 0.4469, 'xsmm_reference_best': 0.4469, 'xsmm_reference_cpu_freq': 2.999829, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 0.9395, 'K_BLOCKING=0_best': 0.9395, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 0.9712, 'K_BLOCKING=112_best': 0.9712, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 0.9511, 'K_BLOCKING=128_best': 0.9511, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 0.9490999999999999, 'K_BLOCKING=16_best': 0.9490999999999999, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 0.9811, 'K_BLOCKING=32_best': 0.9811, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 0.9432, 'K_BLOCKING=48_best': 0.9432, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 0.9433999999999999, 'K_BLOCKING=64_best': 0.9433999999999999, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 0.9474, 'K_BLOCKING=80_best': 0.9474, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 0.968, 'K_BLOCKING=96_best': 0.968, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 33600, 'xsmm_reference_avg': 0.9505000000000001, 'xsmm_reference_best': 0.9505000000000001, 'xsmm_reference_cpu_freq': 2.999809, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 2.1643, 'K_BLOCKING=0_best': 2.1643, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 2.1843, 'K_BLOCKING=112_best': 2.1843, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 2.2034, 'K_BLOCKING=128_best': 2.2034, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 2.8815999999999997, 'K_BLOCKING=16_best': 2.8815999999999997, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 2.1568, 'K_BLOCKING=32_best': 2.1568, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 2.1966, 'K_BLOCKING=48_best': 2.1966, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 2.19, 'K_BLOCKING=64_best': 2.19, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 2.1458, 'K_BLOCKING=80_best': 2.1458, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 2.2163, 'K_BLOCKING=96_best': 2.2163, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 33600, 'xsmm_reference_avg': 2.1852, 'xsmm_reference_best': 2.1852, 'xsmm_reference_cpu_freq': 2.999849, 'xsmm_reference_kernel_type': 'sparse'}
{'K_BLOCKING=0_avg': 2.7387, 'K_BLOCKING=0_best': 2.7387, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 2.6285, 'K_BLOCKING=112_best': 2.6285, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 2.5416, 'K_BLOCKING=128_best': 2.5416, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 4.3122, 'K_BLOCKING=16_best': 4.3122, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 4.3149999999999995, 'K_BLOCKING=32_best': 4.3149999999999995, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 3.7497, 'K_BLOCKING=48_best': 3.7497, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 2.7365, 'K_BLOCKING=64_best': 2.7365, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 2.7637, 'K_BLOCKING=80_best': 2.7637, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 2.6973, 'K_BLOCKING=96_best': 2.6973, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 33600, 'xsmm_reference_avg': 2.5393999999999997, 'xsmm_reference_best': 2.5393999999999997, 'xsmm_reference_cpu_freq': 2.999822, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 5.022900000000004, 'K_BLOCKING=0_best': 5.022900000000004, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 5.3581, 'K_BLOCKING=112_best': 5.3581, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 5.1232, 'K_BLOCKING=128_best': 5.1232, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 8.3453, 'K_BLOCKING=16_best': 8.3453, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 8.951, 'K_BLOCKING=32_best': 8.951, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 7.6370000000000005, 'K_BLOCKING=48_best': 7.6370000000000005, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 4.9345, 'K_BLOCKING=64_best': 4.9345, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 5.2379, 'K_BLOCKING=80_best': 5.2379, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 5.3269, 'K_BLOCKING=96_best': 5.3269, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 33600, 'xsmm_reference_avg': 4.4671, 'xsmm_reference_best': 4.4671, 'xsmm_reference_cpu_freq': 2.999876, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 4.2552, 'K_BLOCKING=0_best': 4.2552, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 4.1404000000000005, 'K_BLOCKING=112_best': 4.1404000000000005, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 4.2292000000000005, 'K_BLOCKING=128_best': 4.2292000000000005, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 5.0368, 'K_BLOCKING=16_best': 5.0368, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 6.0763, 'K_BLOCKING=32_best': 6.0763, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 5.7026, 'K_BLOCKING=48_best': 5.7026, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 5.4594000000000005, 'K_BLOCKING=64_best': 5.4594000000000005, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 4.4262999999999995, 'K_BLOCKING=80_best': 4.4262999999999995, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 4.3092, 'K_BLOCKING=96_best': 4.3092, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 33600, 'xsmm_reference_avg': 3.8612, 'xsmm_reference_best': 3.8612, 'xsmm_reference_cpu_freq': 2.999867, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 3.186, 'K_BLOCKING=0_best': 3.186, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 3.2828000000000004, 'K_BLOCKING=112_best': 3.2828000000000004, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 3.3228999999999997, 'K_BLOCKING=128_best': 3.3228999999999997, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 7.339999999999998, 'K_BLOCKING=16_best': 7.339999999999998, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 3.2168, 'K_BLOCKING=32_best': 3.2168, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 3.2415, 'K_BLOCKING=48_best': 3.2415, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 3.2805, 'K_BLOCKING=64_best': 3.2805, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 3.2613999999999996, 'K_BLOCKING=80_best': 3.2613999999999996, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 3.2569000000000004, 'K_BLOCKING=96_best': 3.2569000000000004, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 33600, 'xsmm_reference_avg': 3.4204, 'xsmm_reference_best': 3.4204, 'xsmm_reference_cpu_freq': 2.999834, 'xsmm_reference_kernel_type': 'sparse'}
{'K_BLOCKING=0_avg': 2.2014, 'K_BLOCKING=0_best': 2.2014, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 2.2464, 'K_BLOCKING=112_best': 2.2464, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 2.1951, 'K_BLOCKING=128_best': 2.1951, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 4.9634, 'K_BLOCKING=16_best': 4.9634, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 2.1867, 'K_BLOCKING=32_best': 2.1867, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 2.2239999999999998, 'K_BLOCKING=48_best': 2.2239999999999998, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 2.2545, 'K_BLOCKING=64_best': 2.2545, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 2.2096, 'K_BLOCKING=80_best': 2.2096, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 2.2388000000000003, 'K_BLOCKING=96_best': 2.2388000000000003, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 33600, 'xsmm_reference_avg': 2.3311, 'xsmm_reference_best': 2.3311, 'xsmm_reference_cpu_freq': 2.999799, 'xsmm_reference_kernel_type': 'wide-sparse'}
