{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0565744482437054, 'speedup_best_over_ref': 1.0565744482437054, 'xsmm_custom_avg': 0.10723333333333333, 'xsmm_custom_best': 0.10723333333333333, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.1133, 'xsmm_reference_best': 0.1133, 'xsmm_reference_cpu_freq': 0.999997, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9822767552828903, 'speedup_best_over_ref': 0.9822767552828903, 'xsmm_custom_avg': 0.048900000000000006, 'xsmm_custom_best': 0.048900000000000006, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.04803333333333334, 'xsmm_reference_best': 0.04803333333333334, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9921763869132292, 'speedup_best_over_ref': 0.9921763869132292, 'xsmm_custom_avg': 0.04686666666666666, 'xsmm_custom_best': 0.04686666666666666, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.0465, 'xsmm_reference_best': 0.0465, 'xsmm_reference_cpu_freq': 0.999986, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9788972089857044, 'speedup_best_over_ref': 0.9788972089857044, 'xsmm_custom_avg': 0.04896666666666667, 'xsmm_custom_best': 0.04896666666666667, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.047933333333333335, 'xsmm_reference_best': 0.047933333333333335, 'xsmm_reference_cpu_freq': 0.999986, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0206961429915336, 'speedup_best_over_ref': 1.0206961429915336, 'xsmm_custom_avg': 0.03543333333333333, 'xsmm_custom_best': 0.03543333333333333, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.036166666666666666, 'xsmm_reference_best': 0.036166666666666666, 'xsmm_reference_cpu_freq': 0.999991, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9996026226902442, 'speedup_best_over_ref': 0.9996026226902442, 'xsmm_custom_avg': 0.16776666666666668, 'xsmm_custom_best': 0.16776666666666668, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.1677, 'xsmm_reference_best': 0.1677, 'xsmm_reference_cpu_freq': 0.999996, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9948990907074737, 'speedup_best_over_ref': 0.9948990907074737, 'xsmm_custom_avg': 0.15030000000000002, 'xsmm_custom_best': 0.15030000000000002, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.14953333333333332, 'xsmm_reference_best': 0.14953333333333332, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9891046897205116, 'speedup_best_over_ref': 0.9891046897205116, 'xsmm_custom_avg': 0.14073333333333335, 'xsmm_custom_best': 0.14073333333333335, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.13920000000000002, 'xsmm_reference_best': 0.13920000000000002, 'xsmm_reference_cpu_freq': 0.999998, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0428408535592115, 'speedup_best_over_ref': 1.0428408535592115, 'xsmm_custom_avg': 0.20463333333333333, 'xsmm_custom_best': 0.20463333333333333, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.2134, 'xsmm_reference_best': 0.2134, 'xsmm_reference_cpu_freq': 0.999998, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9954389965792475, 'speedup_best_over_ref': 0.9954389965792475, 'xsmm_custom_avg': 0.14616666666666667, 'xsmm_custom_best': 0.14616666666666667, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.14550000000000002, 'xsmm_reference_best': 0.14550000000000002, 'xsmm_reference_cpu_freq': 0.999995, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9934402332361516, 'speedup_best_over_ref': 0.9934402332361516, 'xsmm_custom_avg': 0.09146666666666667, 'xsmm_custom_best': 0.09146666666666667, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.09086666666666667, 'xsmm_reference_best': 0.09086666666666667, 'xsmm_reference_cpu_freq': 0.999993, 'xsmm_reference_kernel_type': 'undefined'}
