{'N_BLOCKING=1_avg': 272.169, 'N_BLOCKING=1_best': 272.169, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 265.64, 'N_BLOCKING=2_best': 265.64, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 268.495, 'N_BLOCKING=3_best': 268.495, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 9000000, 'xsmm_reference_avg': 269.582, 'xsmm_reference_best': 269.582, 'xsmm_reference_cpu_freq': 2.999869, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 169.457, 'N_BLOCKING=1_best': 169.457, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 170.353, 'N_BLOCKING=2_best': 170.353, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 171.465, 'N_BLOCKING=3_best': 171.465, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 9000000, 'xsmm_reference_avg': 170.497, 'xsmm_reference_best': 170.497, 'xsmm_reference_cpu_freq': 2.999957, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 207.34799999999996, 'N_BLOCKING=1_best': 207.34799999999996, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 194.312, 'N_BLOCKING=2_best': 194.312, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 200.149, 'N_BLOCKING=3_best': 200.149, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 6000000, 'xsmm_reference_avg': 207.262, 'xsmm_reference_best': 207.262, 'xsmm_reference_cpu_freq': 2.999894, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 169.912, 'N_BLOCKING=1_best': 169.912, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 170.544, 'N_BLOCKING=2_best': 170.544, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 170.417, 'N_BLOCKING=3_best': 170.417, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 9000000, 'xsmm_reference_avg': 170.371, 'xsmm_reference_best': 170.371, 'xsmm_reference_cpu_freq': 2.999908, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 269.191, 'N_BLOCKING=1_best': 269.191, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 264.933, 'N_BLOCKING=2_best': 264.933, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 266.473, 'N_BLOCKING=3_best': 266.473, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 9000000, 'xsmm_reference_avg': 263.74699999999996, 'xsmm_reference_best': 263.74699999999996, 'xsmm_reference_cpu_freq': 2.999889, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 249.42, 'N_BLOCKING=1_best': 249.42, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 240.161, 'N_BLOCKING=2_best': 240.161, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 245.972, 'N_BLOCKING=3_best': 245.972, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 3555552, 'xsmm_reference_avg': 245.159, 'xsmm_reference_best': 245.159, 'xsmm_reference_cpu_freq': 2.999952, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 357.4, 'N_BLOCKING=1_best': 357.4, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 405.108, 'N_BLOCKING=2_best': 405.108, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 403.354, 'N_BLOCKING=3_best': 403.354, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 3555552, 'xsmm_reference_avg': 393.836, 'xsmm_reference_best': 393.836, 'xsmm_reference_cpu_freq': 2.99987, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 346.91700000000003, 'N_BLOCKING=1_best': 346.91700000000003, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 369.765, 'N_BLOCKING=2_best': 369.765, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 370.059, 'N_BLOCKING=3_best': 370.059, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 2133312, 'xsmm_reference_avg': 359.191, 'xsmm_reference_best': 359.191, 'xsmm_reference_cpu_freq': 2.999907, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 358.437, 'N_BLOCKING=1_best': 358.437, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 413.033, 'N_BLOCKING=2_best': 413.033, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 401.777, 'N_BLOCKING=3_best': 401.777, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 2666640, 'xsmm_reference_avg': 399.637, 'xsmm_reference_best': 399.637, 'xsmm_reference_cpu_freq': 2.999893, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 284.19399999999996, 'N_BLOCKING=1_best': 284.19399999999996, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 275.846, 'N_BLOCKING=2_best': 275.846, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 278.18600000000004, 'N_BLOCKING=3_best': 278.18600000000004, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 2666640, 'xsmm_reference_avg': 277.249, 'xsmm_reference_best': 277.249, 'xsmm_reference_cpu_freq': 2.99994, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 274.213, 'N_BLOCKING=1_best': 274.213, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 261.125, 'N_BLOCKING=2_best': 261.125, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 257.97, 'N_BLOCKING=3_best': 257.97, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 3555552, 'xsmm_reference_avg': 260.102, 'xsmm_reference_best': 260.102, 'xsmm_reference_cpu_freq': 2.999965, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 355.258, 'N_BLOCKING=1_best': 355.258, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 408.707, 'N_BLOCKING=2_best': 408.707, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 405.239, 'N_BLOCKING=3_best': 405.239, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m3.txt', 'size_n': 3555552, 'xsmm_reference_avg': 396.888, 'xsmm_reference_best': 396.888, 'xsmm_reference_cpu_freq': 2.99991, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 346.237, 'N_BLOCKING=1_best': 346.237, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 371.04100000000005, 'N_BLOCKING=2_best': 371.04100000000005, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 369.24, 'N_BLOCKING=3_best': 369.24, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m6.txt', 'size_n': 2133312, 'xsmm_reference_avg': 359.035, 'xsmm_reference_best': 359.035, 'xsmm_reference_cpu_freq': 2.999939, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 363.826, 'N_BLOCKING=1_best': 363.826, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 413.874, 'N_BLOCKING=2_best': 413.874, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 398.53999999999996, 'N_BLOCKING=3_best': 398.53999999999996, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m132.txt', 'size_n': 2666640, 'xsmm_reference_avg': 401.39599999999996, 'xsmm_reference_best': 401.39599999999996, 'xsmm_reference_cpu_freq': 2.999892, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 283.879, 'N_BLOCKING=1_best': 283.879, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 281.99, 'N_BLOCKING=2_best': 281.99, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 283.371, 'N_BLOCKING=3_best': 283.371, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m460.txt', 'size_n': 2666640, 'xsmm_reference_avg': 284.434, 'xsmm_reference_best': 284.434, 'xsmm_reference_cpu_freq': 2.999883, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 328.047, 'N_BLOCKING=1_best': 328.047, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 333.231, 'N_BLOCKING=2_best': 333.231, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 331.521, 'N_BLOCKING=3_best': 331.521, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m0.txt', 'size_n': 1800000, 'xsmm_reference_avg': 329.514, 'xsmm_reference_best': 329.514, 'xsmm_reference_cpu_freq': 2.999913, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 366.343, 'N_BLOCKING=1_best': 366.343, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 421.994, 'N_BLOCKING=2_best': 421.994, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 414.003, 'N_BLOCKING=3_best': 414.003, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m3.txt', 'size_n': 1800000, 'xsmm_reference_avg': 412.956, 'xsmm_reference_best': 412.956, 'xsmm_reference_cpu_freq': 2.999959, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 347.403, 'N_BLOCKING=1_best': 347.403, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 370.72799999999995, 'N_BLOCKING=2_best': 370.72799999999995, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 356.998, 'N_BLOCKING=3_best': 356.998, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m6.txt', 'size_n': 999984, 'xsmm_reference_avg': 362.08, 'xsmm_reference_best': 362.08, 'xsmm_reference_cpu_freq': 2.99994, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 372.348, 'N_BLOCKING=1_best': 372.348, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 429.98299999999995, 'N_BLOCKING=2_best': 429.98299999999995, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 414.078, 'N_BLOCKING=3_best': 414.078, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m132.txt', 'size_n': 1124976, 'xsmm_reference_avg': 424.471, 'xsmm_reference_best': 424.471, 'xsmm_reference_cpu_freq': 2.99992, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 368.528, 'N_BLOCKING=1_best': 368.528, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 372.59299999999996, 'N_BLOCKING=2_best': 372.59299999999996, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 369.28700000000003, 'N_BLOCKING=3_best': 369.28700000000003, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m460.txt', 'size_n': 1124976, 'xsmm_reference_avg': 362.996, 'xsmm_reference_best': 362.996, 'xsmm_reference_cpu_freq': 2.999942, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 373.055, 'N_BLOCKING=1_best': 373.055, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 365.437, 'N_BLOCKING=2_best': 365.437, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 353.078, 'N_BLOCKING=3_best': 353.078, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m0.txt', 'size_n': 1800000, 'xsmm_reference_avg': 366.65999999999997, 'xsmm_reference_best': 366.65999999999997, 'xsmm_reference_cpu_freq': 2.999889, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 362.714, 'N_BLOCKING=1_best': 362.714, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 416.275, 'N_BLOCKING=2_best': 416.275, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 412.101, 'N_BLOCKING=3_best': 412.101, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m3.txt', 'size_n': 1800000, 'xsmm_reference_avg': 409.091, 'xsmm_reference_best': 409.091, 'xsmm_reference_cpu_freq': 2.999915, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 347.543, 'N_BLOCKING=1_best': 347.543, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 370.071, 'N_BLOCKING=2_best': 370.071, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 361.741, 'N_BLOCKING=3_best': 361.741, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m6.txt', 'size_n': 999984, 'xsmm_reference_avg': 363.77700000000004, 'xsmm_reference_best': 363.77700000000004, 'xsmm_reference_cpu_freq': 2.999915, 'xsmm_reference_kernel_type': 'wide-sparse'}
