{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 1800000, 'speedup_avg_over_ref': 0.9851343208738237, 'speedup_best_over_ref': 0.9851343208738237, 'xsmm_custom_avg': 247.281, 'xsmm_custom_best': 247.281, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 243.605, 'xsmm_reference_best': 243.605, 'xsmm_reference_cpu_freq': 2.999888, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 1500000, 'speedup_avg_over_ref': 0.9995599442782945, 'speedup_best_over_ref': 0.9995599442782945, 'xsmm_custom_avg': 356.773, 'xsmm_custom_best': 356.773, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 356.616, 'xsmm_reference_best': 356.616, 'xsmm_reference_cpu_freq': 2.999948, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 1.110195540920851, 'speedup_best_over_ref': 1.110195540920851, 'xsmm_custom_avg': 369.897, 'xsmm_custom_best': 369.897, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 410.658, 'xsmm_reference_best': 410.658, 'xsmm_reference_cpu_freq': 2.999917, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 750000, 'speedup_avg_over_ref': 1.0936016467448684, 'speedup_best_over_ref': 1.0936016467448684, 'xsmm_custom_avg': 394.961, 'xsmm_custom_best': 394.961, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 431.93, 'xsmm_reference_best': 431.93, 'xsmm_reference_cpu_freq': 2.999861, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 450000, 'speedup_avg_over_ref': 1.1126925383945043, 'speedup_best_over_ref': 1.1126925383945043, 'xsmm_custom_avg': 441.79499999999996, 'xsmm_custom_best': 441.79499999999996, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 491.582, 'xsmm_reference_best': 491.582, 'xsmm_reference_cpu_freq': 2.999933, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 249984, 'speedup_avg_over_ref': 0.9250437592351639, 'speedup_best_over_ref': 0.9250437592351639, 'xsmm_custom_avg': 623.297, 'xsmm_custom_best': 623.297, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 576.577, 'xsmm_reference_best': 576.577, 'xsmm_reference_cpu_freq': 2.999925, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 1800000, 'speedup_avg_over_ref': 0.9837137412661445, 'speedup_best_over_ref': 0.9837137412661445, 'xsmm_custom_avg': 236.14999999999998, 'xsmm_custom_best': 236.14999999999998, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 232.304, 'xsmm_reference_best': 232.304, 'xsmm_reference_cpu_freq': 2.999971, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 1500000, 'speedup_avg_over_ref': 0.9979570875198422, 'speedup_best_over_ref': 0.9979570875198422, 'xsmm_custom_avg': 353.417, 'xsmm_custom_best': 353.417, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 352.69500000000005, 'xsmm_reference_best': 352.69500000000005, 'xsmm_reference_cpu_freq': 2.999882, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 1.0768563928617725, 'speedup_best_over_ref': 1.0768563928617725, 'xsmm_custom_avg': 370.288, 'xsmm_custom_best': 370.288, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 398.747, 'xsmm_reference_best': 398.747, 'xsmm_reference_cpu_freq': 2.999921, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 750000, 'speedup_avg_over_ref': 1.0935768350465787, 'speedup_best_over_ref': 1.0935768350465787, 'xsmm_custom_avg': 398.46400000000006, 'xsmm_custom_best': 398.46400000000006, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 435.751, 'xsmm_reference_best': 435.751, 'xsmm_reference_cpu_freq': 2.999915, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 450000, 'speedup_avg_over_ref': 0.9988569462583664, 'speedup_best_over_ref': 0.9988569462583664, 'xsmm_custom_avg': 441.799, 'xsmm_custom_best': 441.799, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 441.294, 'xsmm_reference_best': 441.294, 'xsmm_reference_cpu_freq': 2.999961, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_1024_p_0.05_uniq_64.txt', 'size_n': 249984, 'speedup_avg_over_ref': 6.6287592893881, 'speedup_best_over_ref': 6.6287592893881, 'xsmm_custom_avg': 594.361, 'xsmm_custom_best': 594.361, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 3939.876, 'xsmm_reference_best': 3939.876, 'xsmm_reference_cpu_freq': 2.999925, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 1.018049292630241, 'speedup_best_over_ref': 1.018049292630241, 'xsmm_custom_avg': 248.597, 'xsmm_custom_best': 248.597, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 253.084, 'xsmm_reference_best': 253.084, 'xsmm_reference_cpu_freq': 2.999895, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.9341708243531275, 'speedup_best_over_ref': 0.9341708243531275, 'xsmm_custom_avg': 419.905, 'xsmm_custom_best': 419.905, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 392.263, 'xsmm_reference_best': 392.263, 'xsmm_reference_cpu_freq': 2.999948, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.6332106915808563, 'speedup_best_over_ref': 0.6332106915808563, 'xsmm_custom_avg': 556.363, 'xsmm_custom_best': 556.363, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 352.295, 'xsmm_reference_best': 352.295, 'xsmm_reference_cpu_freq': 2.999925, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.904860073252363, 'speedup_best_over_ref': 0.904860073252363, 'xsmm_custom_avg': 760.112, 'xsmm_custom_best': 760.112, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 687.7950000000001, 'xsmm_reference_best': 687.7950000000001, 'xsmm_reference_cpu_freq': 2.999868, 'xsmm_reference_kernel_type': 'sparse'}
