{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 1800000, 'speedup_avg_over_ref': 1.005506300711938, 'speedup_best_over_ref': 1.005506300711938, 'xsmm_custom_avg': 247.353, 'xsmm_custom_best': 247.353, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 248.715, 'xsmm_reference_best': 248.715, 'xsmm_reference_cpu_freq': 2.999973, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 1500000, 'speedup_avg_over_ref': 1.0279582386030377, 'speedup_best_over_ref': 1.0279582386030377, 'xsmm_custom_avg': 358.034, 'xsmm_custom_best': 358.034, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 368.044, 'xsmm_reference_best': 368.044, 'xsmm_reference_cpu_freq': 2.999915, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 1.1020989537572565, 'speedup_best_over_ref': 1.1020989537572565, 'xsmm_custom_avg': 371.042, 'xsmm_custom_best': 371.042, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 408.92499999999995, 'xsmm_reference_best': 408.92499999999995, 'xsmm_reference_cpu_freq': 2.999918, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 750000, 'speedup_avg_over_ref': 1.084038402856761, 'speedup_best_over_ref': 1.084038402856761, 'xsmm_custom_avg': 396.533, 'xsmm_custom_best': 396.533, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 429.857, 'xsmm_reference_best': 429.857, 'xsmm_reference_cpu_freq': 2.999968, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 450000, 'speedup_avg_over_ref': 1.110941282230691, 'speedup_best_over_ref': 1.110941282230691, 'xsmm_custom_avg': 441.621, 'xsmm_custom_best': 441.621, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 490.615, 'xsmm_reference_best': 490.615, 'xsmm_reference_cpu_freq': 2.99997, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 249984, 'speedup_avg_over_ref': 0.9509761037391862, 'speedup_best_over_ref': 0.9509761037391862, 'xsmm_custom_avg': 605.827, 'xsmm_custom_best': 605.827, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 576.127, 'xsmm_reference_best': 576.127, 'xsmm_reference_cpu_freq': 2.999967, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 1800000, 'speedup_avg_over_ref': 1.0049349503110332, 'speedup_best_over_ref': 1.0049349503110332, 'xsmm_custom_avg': 235.66600000000005, 'xsmm_custom_best': 235.66600000000005, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 236.829, 'xsmm_reference_best': 236.829, 'xsmm_reference_cpu_freq': 2.999894, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 1500000, 'speedup_avg_over_ref': 1.0048213192444617, 'speedup_best_over_ref': 1.0048213192444617, 'xsmm_custom_avg': 352.808, 'xsmm_custom_best': 352.808, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 354.509, 'xsmm_reference_best': 354.509, 'xsmm_reference_cpu_freq': 2.999893, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 1.0775614253945869, 'speedup_best_over_ref': 1.0775614253945869, 'xsmm_custom_avg': 368.74, 'xsmm_custom_best': 368.74, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 397.34, 'xsmm_reference_best': 397.34, 'xsmm_reference_cpu_freq': 2.999937, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 750000, 'speedup_avg_over_ref': 1.0947080795166833, 'speedup_best_over_ref': 1.0947080795166833, 'xsmm_custom_avg': 398.90999999999997, 'xsmm_custom_best': 398.90999999999997, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 436.69000000000005, 'xsmm_reference_best': 436.69000000000005, 'xsmm_reference_cpu_freq': 2.999912, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 450000, 'speedup_avg_over_ref': 0.996724665958935, 'speedup_best_over_ref': 0.996724665958935, 'xsmm_custom_avg': 441.787, 'xsmm_custom_best': 441.787, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 440.34000000000003, 'xsmm_reference_best': 440.34000000000003, 'xsmm_reference_cpu_freq': 2.999936, 'xsmm_reference_kernel_type': 'sparse'}
