{'N_BLOCKING=1_avg': 248.374, 'N_BLOCKING=1_best': 248.374, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 242.59500000000003, 'N_BLOCKING=2_best': 242.59500000000003, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 244.894, 'N_BLOCKING=3_best': 244.894, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 1800000, 'xsmm_reference_avg': 243.44600000000003, 'xsmm_reference_best': 243.44600000000003, 'xsmm_reference_cpu_freq': 2.999905, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 354.852, 'N_BLOCKING=1_best': 354.852, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 368.272, 'N_BLOCKING=2_best': 368.272, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 355.599, 'N_BLOCKING=3_best': 355.599, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 1500000, 'xsmm_reference_avg': 366.298, 'xsmm_reference_best': 366.298, 'xsmm_reference_cpu_freq': 2.999869, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 368.212, 'N_BLOCKING=1_best': 368.212, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 410.024, 'N_BLOCKING=2_best': 410.024, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 384.977, 'N_BLOCKING=3_best': 384.977, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 405.064, 'xsmm_reference_best': 405.064, 'xsmm_reference_cpu_freq': 2.999858, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 391.51, 'N_BLOCKING=1_best': 391.51, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 439.34, 'N_BLOCKING=2_best': 439.34, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 425.1, 'N_BLOCKING=3_best': 425.1, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 750000, 'xsmm_reference_avg': 419.4, 'xsmm_reference_best': 419.4, 'xsmm_reference_cpu_freq': 2.999905, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 440.786, 'N_BLOCKING=1_best': 440.786, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 501.782, 'N_BLOCKING=2_best': 501.782, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 483.969, 'N_BLOCKING=3_best': 483.969, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 450000, 'xsmm_reference_avg': 478.155, 'xsmm_reference_best': 478.155, 'xsmm_reference_cpu_freq': 2.99995, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 598.624, 'N_BLOCKING=1_best': 598.624, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 643.5799999999999, 'N_BLOCKING=2_best': 643.5799999999999, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 636.925, 'N_BLOCKING=3_best': 636.925, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 249984, 'xsmm_reference_avg': 564.762, 'xsmm_reference_best': 564.762, 'xsmm_reference_cpu_freq': 2.999913, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 239.147, 'N_BLOCKING=1_best': 239.147, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 231.581, 'N_BLOCKING=2_best': 231.581, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 232.967, 'N_BLOCKING=3_best': 232.967, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 1800000, 'xsmm_reference_avg': 233.045, 'xsmm_reference_best': 233.045, 'xsmm_reference_cpu_freq': 2.99985, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 354.219, 'N_BLOCKING=1_best': 354.219, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 361.227, 'N_BLOCKING=2_best': 361.227, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 349.90599999999995, 'N_BLOCKING=3_best': 349.90599999999995, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 1500000, 'xsmm_reference_avg': 356.342, 'xsmm_reference_best': 356.342, 'xsmm_reference_cpu_freq': 2.999908, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 368.834, 'N_BLOCKING=1_best': 368.834, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 400.762, 'N_BLOCKING=2_best': 400.762, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 373.429, 'N_BLOCKING=3_best': 373.429, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 1124976, 'xsmm_reference_avg': 395.07899999999995, 'xsmm_reference_best': 395.07899999999995, 'xsmm_reference_cpu_freq': 2.99992, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 393.941, 'N_BLOCKING=1_best': 393.941, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 446.323, 'N_BLOCKING=2_best': 446.323, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 423.303, 'N_BLOCKING=3_best': 423.303, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 750000, 'xsmm_reference_avg': 427.149, 'xsmm_reference_best': 427.149, 'xsmm_reference_cpu_freq': 2.999943, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 441.08299999999997, 'N_BLOCKING=1_best': 441.08299999999997, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 504.24, 'N_BLOCKING=2_best': 504.24, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 491.372, 'N_BLOCKING=3_best': 491.372, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 450000, 'xsmm_reference_avg': 435.27700000000004, 'xsmm_reference_best': 435.27700000000004, 'xsmm_reference_cpu_freq': 2.99988, 'xsmm_reference_kernel_type': 'sparse'}
