{'M_BLOCKING=12_avg': 251.49900000000002, 'M_BLOCKING=12_best': 251.49900000000002, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 251.327, 'M_BLOCKING=16_best': 251.327, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 249.451, 'M_BLOCKING=1_best': 249.451, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 247.926, 'M_BLOCKING=2_best': 247.926, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 248.088, 'M_BLOCKING=3_best': 248.088, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 249.483, 'M_BLOCKING=6_best': 249.483, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 1800000, 'xsmm_reference_avg': 243.869, 'xsmm_reference_best': 243.869, 'xsmm_reference_cpu_freq': 2.999962, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 359.615, 'M_BLOCKING=12_best': 359.615, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 355.996, 'M_BLOCKING=16_best': 355.996, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 359.82899999999995, 'M_BLOCKING=1_best': 359.82899999999995, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 357.999, 'M_BLOCKING=2_best': 357.999, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 357.643, 'M_BLOCKING=3_best': 357.643, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 357.90999999999997, 'M_BLOCKING=6_best': 357.90999999999997, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 1500000, 'xsmm_reference_avg': 369.607, 'xsmm_reference_best': 369.607, 'xsmm_reference_cpu_freq': 2.999912, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 386.536, 'M_BLOCKING=12_best': 386.536, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 384.188, 'M_BLOCKING=16_best': 384.188, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 370.948, 'M_BLOCKING=1_best': 370.948, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 372.021, 'M_BLOCKING=2_best': 372.021, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 377.37, 'M_BLOCKING=3_best': 377.37, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 381.702, 'M_BLOCKING=6_best': 381.702, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 409.822, 'xsmm_reference_best': 409.822, 'xsmm_reference_cpu_freq': 2.999969, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 432.669, 'M_BLOCKING=12_best': 432.669, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 422.116, 'M_BLOCKING=16_best': 422.116, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 402.437, 'M_BLOCKING=1_best': 402.437, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 402.032, 'M_BLOCKING=2_best': 402.032, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 410.754, 'M_BLOCKING=3_best': 410.754, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 410.14300000000003, 'M_BLOCKING=6_best': 410.14300000000003, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 750000, 'xsmm_reference_avg': 432.408, 'xsmm_reference_best': 432.408, 'xsmm_reference_cpu_freq': 2.999907, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 474.51300000000003, 'M_BLOCKING=12_best': 474.51300000000003, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 472.86199999999997, 'M_BLOCKING=16_best': 472.86199999999997, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 442.346, 'M_BLOCKING=1_best': 442.346, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 441.58399999999995, 'M_BLOCKING=2_best': 441.58399999999995, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 456.473, 'M_BLOCKING=3_best': 456.473, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 467.558, 'M_BLOCKING=6_best': 467.558, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 450000, 'xsmm_reference_avg': 493.014, 'xsmm_reference_best': 493.014, 'xsmm_reference_cpu_freq': 2.999919, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 631.3330000000001, 'M_BLOCKING=12_best': 631.3330000000001, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 616.484, 'M_BLOCKING=16_best': 616.484, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 608.068, 'M_BLOCKING=1_best': 608.068, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 612.571, 'M_BLOCKING=2_best': 612.571, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 606.533, 'M_BLOCKING=3_best': 606.533, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 634.4970000000001, 'M_BLOCKING=6_best': 634.4970000000001, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 249984, 'xsmm_reference_avg': 582.075, 'xsmm_reference_best': 582.075, 'xsmm_reference_cpu_freq': 2.999965, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 236.309, 'M_BLOCKING=12_best': 236.309, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 242.082, 'M_BLOCKING=16_best': 242.082, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 236.078, 'M_BLOCKING=1_best': 236.078, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 236.091, 'M_BLOCKING=2_best': 236.091, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 236.23, 'M_BLOCKING=3_best': 236.23, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 236.764, 'M_BLOCKING=6_best': 236.764, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 1800000, 'xsmm_reference_avg': 233.148, 'xsmm_reference_best': 233.148, 'xsmm_reference_cpu_freq': 2.999966, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 362.13800000000003, 'M_BLOCKING=12_best': 362.13800000000003, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 355.527, 'M_BLOCKING=16_best': 355.527, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 354.783, 'M_BLOCKING=1_best': 354.783, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 355.245, 'M_BLOCKING=2_best': 355.245, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 357.227, 'M_BLOCKING=3_best': 357.227, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 358.565, 'M_BLOCKING=6_best': 358.565, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 1500000, 'xsmm_reference_avg': 357.43, 'xsmm_reference_best': 357.43, 'xsmm_reference_cpu_freq': 2.99987, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 386.015, 'M_BLOCKING=12_best': 386.015, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 379.79, 'M_BLOCKING=16_best': 379.79, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 371.498, 'M_BLOCKING=1_best': 371.498, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 371.51300000000003, 'M_BLOCKING=2_best': 371.51300000000003, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 373.64, 'M_BLOCKING=3_best': 373.64, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 381.093, 'M_BLOCKING=6_best': 381.093, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 1124976, 'xsmm_reference_avg': 401.212, 'xsmm_reference_best': 401.212, 'xsmm_reference_cpu_freq': 2.999927, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 432.00699999999995, 'M_BLOCKING=12_best': 432.00699999999995, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 425.482, 'M_BLOCKING=16_best': 425.482, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 399.872, 'M_BLOCKING=1_best': 399.872, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 399.53700000000003, 'M_BLOCKING=2_best': 399.53700000000003, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 406.692, 'M_BLOCKING=3_best': 406.692, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 415.342, 'M_BLOCKING=6_best': 415.342, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 750000, 'xsmm_reference_avg': 437.665, 'xsmm_reference_best': 437.665, 'xsmm_reference_cpu_freq': 2.999962, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 471.359, 'M_BLOCKING=12_best': 471.359, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 469.77700000000004, 'M_BLOCKING=16_best': 469.77700000000004, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 442.477, 'M_BLOCKING=1_best': 442.477, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 442.186, 'M_BLOCKING=2_best': 442.186, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 458.40599999999995, 'M_BLOCKING=3_best': 458.40599999999995, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 463.963, 'M_BLOCKING=6_best': 463.963, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 450000, 'xsmm_reference_avg': 441.706, 'xsmm_reference_best': 441.706, 'xsmm_reference_cpu_freq': 2.999938, 'xsmm_reference_kernel_type': 'sparse'}
