{'N_BLOCKING=1_avg': 264.957, 'N_BLOCKING=1_best': 264.957, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 258.836, 'N_BLOCKING=2_best': 258.836, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 261.348, 'N_BLOCKING=3_best': 261.348, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 9000000, 'xsmm_reference_avg': 258.65, 'xsmm_reference_best': 258.65, 'xsmm_reference_cpu_freq': 2.99992, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 159.851, 'N_BLOCKING=1_best': 159.851, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 159.72, 'N_BLOCKING=2_best': 159.72, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 160.549, 'N_BLOCKING=3_best': 160.549, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 9000000, 'xsmm_reference_avg': 160.55399999999997, 'xsmm_reference_best': 160.55399999999997, 'xsmm_reference_cpu_freq': 2.999931, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 200.454, 'N_BLOCKING=1_best': 200.454, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 187.309, 'N_BLOCKING=2_best': 187.309, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 193.156, 'N_BLOCKING=3_best': 193.156, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 6000000, 'xsmm_reference_avg': 189.13300000000004, 'xsmm_reference_best': 189.13300000000004, 'xsmm_reference_cpu_freq': 2.999906, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 158.869, 'N_BLOCKING=1_best': 158.869, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 160.323, 'N_BLOCKING=2_best': 160.323, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 160.938, 'N_BLOCKING=3_best': 160.938, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 9000000, 'xsmm_reference_avg': 159.642, 'xsmm_reference_best': 159.642, 'xsmm_reference_cpu_freq': 2.999891, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 261.962, 'N_BLOCKING=1_best': 261.962, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 258.005, 'N_BLOCKING=2_best': 258.005, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 259.303, 'N_BLOCKING=3_best': 259.303, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 9000000, 'xsmm_reference_avg': 257.52200000000005, 'xsmm_reference_best': 257.52200000000005, 'xsmm_reference_cpu_freq': 2.999928, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 240.59500000000003, 'N_BLOCKING=1_best': 240.59500000000003, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 234.11, 'N_BLOCKING=2_best': 234.11, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 236.01700000000005, 'N_BLOCKING=3_best': 236.01700000000005, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 3555552, 'xsmm_reference_avg': 233.981, 'xsmm_reference_best': 233.981, 'xsmm_reference_cpu_freq': 2.999847, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 343.722, 'N_BLOCKING=1_best': 343.722, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 392.40999999999997, 'N_BLOCKING=2_best': 392.40999999999997, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 384.068, 'N_BLOCKING=3_best': 384.068, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 3555552, 'xsmm_reference_avg': 380.94000000000005, 'xsmm_reference_best': 380.94000000000005, 'xsmm_reference_cpu_freq': 2.99988, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 334.808, 'N_BLOCKING=1_best': 334.808, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 357.42, 'N_BLOCKING=2_best': 357.42, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 353.071, 'N_BLOCKING=3_best': 353.071, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 2133312, 'xsmm_reference_avg': 346.866, 'xsmm_reference_best': 346.866, 'xsmm_reference_cpu_freq': 2.999882, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 344.735, 'N_BLOCKING=1_best': 344.735, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 397.672, 'N_BLOCKING=2_best': 397.672, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 379.75300000000004, 'N_BLOCKING=3_best': 379.75300000000004, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 2666640, 'xsmm_reference_avg': 350.993, 'xsmm_reference_best': 350.993, 'xsmm_reference_cpu_freq': 2.999904, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 277.617, 'N_BLOCKING=1_best': 277.617, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 274.76199999999994, 'N_BLOCKING=2_best': 274.76199999999994, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 272.215, 'N_BLOCKING=3_best': 272.215, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 2666640, 'xsmm_reference_avg': 264.62, 'xsmm_reference_best': 264.62, 'xsmm_reference_cpu_freq': 2.999858, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 267.10900000000004, 'N_BLOCKING=1_best': 267.10900000000004, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 251.438, 'N_BLOCKING=2_best': 251.438, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 249.952, 'N_BLOCKING=3_best': 249.952, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 3555552, 'xsmm_reference_avg': 249.35, 'xsmm_reference_best': 249.35, 'xsmm_reference_cpu_freq': 2.999896, 'xsmm_reference_kernel_type': 'wide-sparse'}
