{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0031830529868562, 'speedup_best_over_ref': 1.0031830529868562, 'xsmm_custom_avg': 1.2147666666666666, 'xsmm_custom_best': 1.2147666666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.2186333333333332, 'xsmm_reference_best': 1.2186333333333332, 'xsmm_reference_cpu_freq': 2.999881, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9047540774021515, 'speedup_best_over_ref': 0.9047540774021515, 'xsmm_custom_avg': 1.8251, 'xsmm_custom_best': 1.8251, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.6512666666666667, 'xsmm_reference_best': 1.6512666666666667, 'xsmm_reference_cpu_freq': 2.999902, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9342749728627783, 'speedup_best_over_ref': 0.9342749728627783, 'xsmm_custom_avg': 2.518066666666667, 'xsmm_custom_best': 2.518066666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.3525666666666667, 'xsmm_reference_best': 2.3525666666666667, 'xsmm_reference_cpu_freq': 2.999957, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0081887987971858, 'speedup_best_over_ref': 1.0081887987971858, 'xsmm_custom_avg': 3.724600000000002, 'xsmm_custom_best': 3.724600000000002, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 3.7551, 'xsmm_reference_best': 3.7551, 'xsmm_reference_cpu_freq': 2.999903, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0637268725227556, 'speedup_best_over_ref': 1.0637268725227556, 'xsmm_custom_avg': 8.5108, 'xsmm_custom_best': 8.5108, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 9.053166666666668, 'xsmm_reference_best': 9.053166666666668, 'xsmm_reference_cpu_freq': 2.999913, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.8093934298269282, 'speedup_best_over_ref': 0.8093934298269282, 'xsmm_custom_avg': 27.672533333333334, 'xsmm_custom_best': 27.672533333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 22.397966666666665, 'xsmm_reference_best': 22.397966666666665, 'xsmm_reference_cpu_freq': 2.999937, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9769381352068864, 'speedup_best_over_ref': 0.9769381352068864, 'xsmm_custom_avg': 1.2430333333333332, 'xsmm_custom_best': 1.2430333333333332, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.2143666666666666, 'xsmm_reference_best': 1.2143666666666666, 'xsmm_reference_cpu_freq': 2.99984, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0019331253469097, 'speedup_best_over_ref': 1.0019331253469097, 'xsmm_custom_avg': 1.7415666666666667, 'xsmm_custom_best': 1.7415666666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.7449333333333332, 'xsmm_reference_best': 1.7449333333333332, 'xsmm_reference_cpu_freq': 2.999911, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.8935744537116427, 'speedup_best_over_ref': 0.8935744537116427, 'xsmm_custom_avg': 2.5658000000000003, 'xsmm_custom_best': 2.5658000000000003, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.292733333333333, 'xsmm_reference_best': 2.292733333333333, 'xsmm_reference_cpu_freq': 2.999921, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0750277684726455, 'speedup_best_over_ref': 1.0750277684726455, 'xsmm_custom_avg': 3.7812666666666668, 'xsmm_custom_best': 3.7812666666666668, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 4.064966666666665, 'xsmm_reference_best': 4.064966666666665, 'xsmm_reference_cpu_freq': 2.999833, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9989409258767112, 'speedup_best_over_ref': 0.9989409258767112, 'xsmm_custom_avg': 8.403566666666666, 'xsmm_custom_best': 8.403566666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 8.394666666666668, 'xsmm_reference_best': 8.394666666666668, 'xsmm_reference_cpu_freq': 2.999785, 'xsmm_reference_kernel_type': 'sparse'}
