{'M_BLOCKING=12_avg': 7.671, 'M_BLOCKING=12_best': 7.671, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 7.809466666666666, 'M_BLOCKING=16_best': 7.809466666666666, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 7.601866666666667, 'M_BLOCKING=1_best': 7.601866666666667, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 7.559533333333332, 'M_BLOCKING=2_best': 7.559533333333332, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 7.5905000000000005, 'M_BLOCKING=3_best': 7.5905000000000005, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 7.6931, 'M_BLOCKING=6_best': 7.6931, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 57600, 'xsmm_reference_avg': 7.540366666666667, 'xsmm_reference_best': 7.540366666666667, 'xsmm_reference_cpu_freq': 2.999847, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 14.32, 'M_BLOCKING=12_best': 14.32, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 13.9316, 'M_BLOCKING=16_best': 13.9316, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 13.423800000000002, 'M_BLOCKING=1_best': 13.423800000000002, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 13.768633333333334, 'M_BLOCKING=2_best': 13.768633333333334, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 13.792166666666667, 'M_BLOCKING=3_best': 13.792166666666667, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 14.0339, 'M_BLOCKING=6_best': 14.0339, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 57600, 'xsmm_reference_avg': 10.8638, 'xsmm_reference_best': 10.8638, 'xsmm_reference_cpu_freq': 2.999878, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 21.394166666666667, 'M_BLOCKING=12_best': 21.394166666666667, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 20.53666666666667, 'M_BLOCKING=16_best': 20.53666666666667, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 20.771733333333334, 'M_BLOCKING=1_best': 20.771733333333334, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 21.251433333333335, 'M_BLOCKING=2_best': 21.251433333333335, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 21.057633333333335, 'M_BLOCKING=3_best': 21.057633333333335, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 21.090766666666664, 'M_BLOCKING=6_best': 21.090766666666664, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 57600, 'xsmm_reference_avg': 18.367366666666666, 'xsmm_reference_best': 18.367366666666666, 'xsmm_reference_cpu_freq': 2.999929, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 35.5554, 'M_BLOCKING=12_best': 35.5554, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 35.29600000000001, 'M_BLOCKING=16_best': 35.29600000000001, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 33.41943333333333, 'M_BLOCKING=1_best': 33.41943333333333, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 33.58853333333333, 'M_BLOCKING=2_best': 33.58853333333333, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 35.22153333333333, 'M_BLOCKING=3_best': 35.22153333333333, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 35.344633333333334, 'M_BLOCKING=6_best': 35.344633333333334, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 57600, 'xsmm_reference_avg': 33.817166666666665, 'xsmm_reference_best': 33.817166666666665, 'xsmm_reference_cpu_freq': 2.999846, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 88.59026666666666, 'M_BLOCKING=12_best': 88.59026666666666, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 87.1999, 'M_BLOCKING=16_best': 87.1999, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 85.71626666666666, 'M_BLOCKING=1_best': 85.71626666666666, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 85.51493333333333, 'M_BLOCKING=2_best': 85.51493333333333, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 87.09116666666667, 'M_BLOCKING=3_best': 87.09116666666667, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 89.16159999999999, 'M_BLOCKING=6_best': 89.16159999999999, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 57600, 'xsmm_reference_avg': 75.97113333333333, 'xsmm_reference_best': 75.97113333333333, 'xsmm_reference_cpu_freq': 2.999925, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 239.13933333333335, 'M_BLOCKING=12_best': 239.13933333333335, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 248.16966666666667, 'M_BLOCKING=16_best': 248.16966666666667, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 226.29593333333332, 'M_BLOCKING=1_best': 226.29593333333332, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 225.6267, 'M_BLOCKING=2_best': 225.6267, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 227.46013333333335, 'M_BLOCKING=3_best': 227.46013333333335, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 239.78650000000002, 'M_BLOCKING=6_best': 239.78650000000002, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 57600, 'xsmm_reference_avg': 184.42426666666668, 'xsmm_reference_best': 184.42426666666668, 'xsmm_reference_cpu_freq': 2.999852, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 7.888066666666666, 'M_BLOCKING=12_best': 7.888066666666666, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 8.053266666666666, 'M_BLOCKING=16_best': 8.053266666666666, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 7.862533333333333, 'M_BLOCKING=1_best': 7.862533333333333, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 8.076033333333333, 'M_BLOCKING=2_best': 8.076033333333333, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 8.033800000000001, 'M_BLOCKING=3_best': 8.033800000000001, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 8.026433333333333, 'M_BLOCKING=6_best': 8.026433333333333, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 57600, 'xsmm_reference_avg': 7.787966666666667, 'xsmm_reference_best': 7.787966666666667, 'xsmm_reference_cpu_freq': 2.99994, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 13.545366666666666, 'M_BLOCKING=12_best': 13.545366666666666, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 13.5867, 'M_BLOCKING=16_best': 13.5867, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 13.632833333333334, 'M_BLOCKING=1_best': 13.632833333333334, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 13.763399999999999, 'M_BLOCKING=2_best': 13.763399999999999, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 13.4909, 'M_BLOCKING=3_best': 13.4909, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 13.353066666666667, 'M_BLOCKING=6_best': 13.353066666666667, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 57600, 'xsmm_reference_avg': 10.5172, 'xsmm_reference_best': 10.5172, 'xsmm_reference_cpu_freq': 2.99983, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 21.716133333333335, 'M_BLOCKING=12_best': 21.716133333333335, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 20.941766666666663, 'M_BLOCKING=16_best': 20.941766666666663, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 21.2317, 'M_BLOCKING=1_best': 21.2317, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 20.9586, 'M_BLOCKING=2_best': 20.9586, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 21.249233333333333, 'M_BLOCKING=3_best': 21.249233333333333, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 21.145833333333332, 'M_BLOCKING=6_best': 21.145833333333332, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 57600, 'xsmm_reference_avg': 17.938133333333333, 'xsmm_reference_best': 17.938133333333333, 'xsmm_reference_cpu_freq': 2.999903, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 35.48076666666667, 'M_BLOCKING=12_best': 35.48076666666667, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 34.56646666666666, 'M_BLOCKING=16_best': 34.56646666666666, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 33.39566666666666, 'M_BLOCKING=1_best': 33.39566666666666, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 33.463699999999996, 'M_BLOCKING=2_best': 33.463699999999996, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 35.24763333333333, 'M_BLOCKING=3_best': 35.24763333333333, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 34.753299999999996, 'M_BLOCKING=6_best': 34.753299999999996, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 57600, 'xsmm_reference_avg': 34.6628, 'xsmm_reference_best': 34.6628, 'xsmm_reference_cpu_freq': 2.999939, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 89.61366666666666, 'M_BLOCKING=12_best': 89.61366666666666, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 87.78443333333333, 'M_BLOCKING=16_best': 87.78443333333333, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 86.06343333333334, 'M_BLOCKING=1_best': 86.06343333333334, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 86.39846666666666, 'M_BLOCKING=2_best': 86.39846666666666, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 86.41936666666668, 'M_BLOCKING=3_best': 86.41936666666668, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 90.43453333333333, 'M_BLOCKING=6_best': 90.43453333333333, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 57600, 'xsmm_reference_avg': 71.31320000000001, 'xsmm_reference_best': 71.31320000000001, 'xsmm_reference_cpu_freq': 2.999911, 'xsmm_reference_kernel_type': 'sparse'}
