{'M_BLOCKING=12_avg': 7.572966666666667, 'M_BLOCKING=12_best': 7.572966666666667, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 7.7975, 'M_BLOCKING=16_best': 7.7975, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 7.5953333333333335, 'M_BLOCKING=1_best': 7.5953333333333335, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 7.612233333333333, 'M_BLOCKING=2_best': 7.612233333333333, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 7.598333333333333, 'M_BLOCKING=3_best': 7.598333333333333, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 7.565433333333333, 'M_BLOCKING=6_best': 7.565433333333333, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 57600, 'xsmm_reference_avg': 7.389166666666665, 'xsmm_reference_best': 7.389166666666665, 'xsmm_reference_cpu_freq': 2.999877, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 13.904866666666667, 'M_BLOCKING=12_best': 13.904866666666667, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 13.131866666666667, 'M_BLOCKING=16_best': 13.131866666666667, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 13.122666666666667, 'M_BLOCKING=1_best': 13.122666666666667, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 13.1697, 'M_BLOCKING=2_best': 13.1697, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 13.352466666666666, 'M_BLOCKING=3_best': 13.352466666666666, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 13.368733333333333, 'M_BLOCKING=6_best': 13.368733333333333, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 57600, 'xsmm_reference_avg': 10.772, 'xsmm_reference_best': 10.772, 'xsmm_reference_cpu_freq': 2.99992, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 20.991366666666668, 'M_BLOCKING=12_best': 20.991366666666668, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 20.364633333333337, 'M_BLOCKING=16_best': 20.364633333333337, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 20.0661, 'M_BLOCKING=1_best': 20.0661, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 20.312333333333335, 'M_BLOCKING=2_best': 20.312333333333335, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 20.691233333333333, 'M_BLOCKING=3_best': 20.691233333333333, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 20.794766666666664, 'M_BLOCKING=6_best': 20.794766666666664, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 57600, 'xsmm_reference_avg': 18.138333333333332, 'xsmm_reference_best': 18.138333333333332, 'xsmm_reference_cpu_freq': 2.999881, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 35.19723333333333, 'M_BLOCKING=12_best': 35.19723333333333, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 34.595866666666666, 'M_BLOCKING=16_best': 34.595866666666666, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 33.23023333333334, 'M_BLOCKING=1_best': 33.23023333333334, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 33.583, 'M_BLOCKING=2_best': 33.583, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 35.1804, 'M_BLOCKING=3_best': 35.1804, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 34.86653333333334, 'M_BLOCKING=6_best': 34.86653333333334, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 57600, 'xsmm_reference_avg': 33.4368, 'xsmm_reference_best': 33.4368, 'xsmm_reference_cpu_freq': 2.999832, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 88.0065, 'M_BLOCKING=12_best': 88.0065, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 87.85496666666667, 'M_BLOCKING=16_best': 87.85496666666667, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 86.20716666666667, 'M_BLOCKING=1_best': 86.20716666666667, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 85.974, 'M_BLOCKING=2_best': 85.974, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 87.1523, 'M_BLOCKING=3_best': 87.1523, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 89.95306666666667, 'M_BLOCKING=6_best': 89.95306666666667, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 57600, 'xsmm_reference_avg': 76.05583333333334, 'xsmm_reference_best': 76.05583333333334, 'xsmm_reference_cpu_freq': 2.999847, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 237.41516666666666, 'M_BLOCKING=12_best': 237.41516666666666, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 245.45559999999998, 'M_BLOCKING=16_best': 245.45559999999998, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 220.2782, 'M_BLOCKING=1_best': 220.2782, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 225.44593333333333, 'M_BLOCKING=2_best': 225.44593333333333, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 225.01233333333332, 'M_BLOCKING=3_best': 225.01233333333332, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 235.79556666666667, 'M_BLOCKING=6_best': 235.79556666666667, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 57600, 'xsmm_reference_avg': 184.17210000000003, 'xsmm_reference_best': 184.17210000000003, 'xsmm_reference_cpu_freq': 2.999938, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 7.954466666666666, 'M_BLOCKING=12_best': 7.954466666666666, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 8.030833333333334, 'M_BLOCKING=16_best': 8.030833333333334, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 7.8028666666666675, 'M_BLOCKING=1_best': 7.8028666666666675, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 7.789666666666666, 'M_BLOCKING=2_best': 7.789666666666666, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 7.883666666666667, 'M_BLOCKING=3_best': 7.883666666666667, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 7.922266666666667, 'M_BLOCKING=6_best': 7.922266666666667, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 57600, 'xsmm_reference_avg': 7.610766666666666, 'xsmm_reference_best': 7.610766666666666, 'xsmm_reference_cpu_freq': 2.999901, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 13.140433333333334, 'M_BLOCKING=12_best': 13.140433333333334, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 12.909400000000002, 'M_BLOCKING=16_best': 12.909400000000002, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 12.869533333333333, 'M_BLOCKING=1_best': 12.869533333333333, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 12.81546666666667, 'M_BLOCKING=2_best': 12.81546666666667, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 12.677733333333332, 'M_BLOCKING=3_best': 12.677733333333332, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 12.665000000000001, 'M_BLOCKING=6_best': 12.665000000000001, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 57600, 'xsmm_reference_avg': 10.349366666666667, 'xsmm_reference_best': 10.349366666666667, 'xsmm_reference_cpu_freq': 2.999913, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 21.45393333333333, 'M_BLOCKING=12_best': 21.45393333333333, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 20.5167, 'M_BLOCKING=16_best': 20.5167, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 20.839000000000002, 'M_BLOCKING=1_best': 20.839000000000002, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 20.622799999999998, 'M_BLOCKING=2_best': 20.622799999999998, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 20.48303333333333, 'M_BLOCKING=3_best': 20.48303333333333, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 20.5228, 'M_BLOCKING=6_best': 20.5228, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 57600, 'xsmm_reference_avg': 17.641166666666667, 'xsmm_reference_best': 17.641166666666667, 'xsmm_reference_cpu_freq': 2.999911, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 35.167833333333334, 'M_BLOCKING=12_best': 35.167833333333334, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 34.315666666666665, 'M_BLOCKING=16_best': 34.315666666666665, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 33.364799999999995, 'M_BLOCKING=1_best': 33.364799999999995, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 33.359700000000004, 'M_BLOCKING=2_best': 33.359700000000004, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 35.11136666666666, 'M_BLOCKING=3_best': 35.11136666666666, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 34.51526666666667, 'M_BLOCKING=6_best': 34.51526666666667, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 57600, 'xsmm_reference_avg': 34.246833333333335, 'xsmm_reference_best': 34.246833333333335, 'xsmm_reference_cpu_freq': 2.999973, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 88.7805, 'M_BLOCKING=12_best': 88.7805, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 87.21083333333333, 'M_BLOCKING=16_best': 87.21083333333333, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 85.39893333333333, 'M_BLOCKING=1_best': 85.39893333333333, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 85.4499, 'M_BLOCKING=2_best': 85.4499, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 86.39343333333333, 'M_BLOCKING=3_best': 86.39343333333333, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 89.90426666666667, 'M_BLOCKING=6_best': 89.90426666666667, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 57600, 'xsmm_reference_avg': 71.14529999999999, 'xsmm_reference_best': 71.14529999999999, 'xsmm_reference_cpu_freq': 2.999953, 'xsmm_reference_kernel_type': 'sparse'}
