{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.23634034717867294, 'speedup_best_over_ref': 0.23634034717867294, 'xsmm_custom_avg': 2.4982333333333333, 'xsmm_custom_best': 2.4982333333333333, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 0.5904333333333334, 'xsmm_reference_best': 0.5904333333333334, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.6755287009063444, 'speedup_best_over_ref': 0.6755287009063444, 'xsmm_custom_avg': 0.5516666666666666, 'xsmm_custom_best': 0.5516666666666666, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 0.37266666666666665, 'xsmm_reference_best': 0.37266666666666665, 'xsmm_reference_cpu_freq': 0.999999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.36682958618442496, 'speedup_best_over_ref': 0.36682958618442496, 'xsmm_custom_avg': 2.5574999999999997, 'xsmm_custom_best': 2.5574999999999997, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 0.9381666666666667, 'xsmm_reference_best': 0.9381666666666667, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.7549564338931685, 'speedup_best_over_ref': 0.7549564338931685, 'xsmm_custom_avg': 0.5279333333333333, 'xsmm_custom_best': 0.5279333333333333, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 0.3985666666666667, 'xsmm_reference_best': 0.3985666666666667, 'xsmm_reference_cpu_freq': 0.999999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.22818105290422838, 'speedup_best_over_ref': 0.22818105290422838, 'xsmm_custom_avg': 2.5738333333333343, 'xsmm_custom_best': 2.5738333333333343, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 0.5873, 'xsmm_reference_best': 0.5873, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.3001756641179152, 'speedup_best_over_ref': 0.3001756641179152, 'xsmm_custom_avg': 6.508633333333333, 'xsmm_custom_best': 6.508633333333333, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 1.9537333333333333, 'xsmm_reference_best': 1.9537333333333333, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.5590316819895496, 'speedup_best_over_ref': 0.5590316819895496, 'xsmm_custom_avg': 4.031733333333333, 'xsmm_custom_best': 4.031733333333333, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 2.2538666666666667, 'xsmm_reference_best': 2.2538666666666667, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.36226797668212246, 'speedup_best_over_ref': 0.36226797668212246, 'xsmm_custom_avg': 11.178833333333333, 'xsmm_custom_best': 11.178833333333333, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 4.049733333333333, 'xsmm_reference_best': 4.049733333333333, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.7685341157018629, 'speedup_best_over_ref': 0.7685341157018629, 'xsmm_custom_avg': 5.362633333333333, 'xsmm_custom_best': 5.362633333333333, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 4.121366666666667, 'xsmm_reference_best': 4.121366666666667, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.3277553901914223, 'speedup_best_over_ref': 0.3277553901914223, 'xsmm_custom_avg': 9.868233333333334, 'xsmm_custom_best': 9.868233333333334, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 3.234366666666667, 'xsmm_reference_best': 3.234366666666667, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.2584605910867631, 'speedup_best_over_ref': 0.2584605910867631, 'xsmm_custom_avg': 8.877433333333332, 'xsmm_custom_best': 8.877433333333332, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 2.2944666666666667, 'xsmm_reference_best': 2.2944666666666667, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
