{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.026141008174387, 'speedup_best_over_ref': 1.026141008174387, 'xsmm_custom_avg': 0.3914666666666667, 'xsmm_custom_best': 0.3914666666666667, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 0.4017, 'xsmm_reference_best': 0.4017, 'xsmm_reference_cpu_freq': 0.999998, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.000925313945803, 'speedup_best_over_ref': 1.000925313945803, 'xsmm_custom_avg': 0.2521666666666667, 'xsmm_custom_best': 0.2521666666666667, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 0.2524, 'xsmm_reference_best': 0.2524, 'xsmm_reference_cpu_freq': 0.999999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9899524061343205, 'speedup_best_over_ref': 0.9899524061343205, 'xsmm_custom_avg': 0.4412333333333333, 'xsmm_custom_best': 0.4412333333333333, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 0.43679999999999997, 'xsmm_reference_best': 0.43679999999999997, 'xsmm_reference_cpu_freq': 0.999998, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9904900277374189, 'speedup_best_over_ref': 0.9904900277374189, 'xsmm_custom_avg': 0.2523666666666667, 'xsmm_custom_best': 0.2523666666666667, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 0.24996666666666664, 'xsmm_reference_best': 0.24996666666666664, 'xsmm_reference_cpu_freq': 0.999999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0058818515045607, 'speedup_best_over_ref': 1.0058818515045607, 'xsmm_custom_avg': 0.39103333333333334, 'xsmm_custom_best': 0.39103333333333334, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 0.39333333333333337, 'xsmm_reference_best': 0.39333333333333337, 'xsmm_reference_cpu_freq': 0.999998, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9870191431175934, 'speedup_best_over_ref': 0.9870191431175934, 'xsmm_custom_avg': 0.9141666666666667, 'xsmm_custom_best': 0.9141666666666667, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 0.9023, 'xsmm_reference_best': 0.9023, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0712379588648788, 'speedup_best_over_ref': 1.0712379588648788, 'xsmm_custom_avg': 1.0242666666666667, 'xsmm_custom_best': 1.0242666666666667, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 1.0972333333333333, 'xsmm_reference_best': 1.0972333333333333, 'xsmm_reference_cpu_freq': 0.999999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0536580831086735, 'speedup_best_over_ref': 1.0536580831086735, 'xsmm_custom_avg': 1.7928333333333333, 'xsmm_custom_best': 1.7928333333333333, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 1.8890333333333333, 'xsmm_reference_best': 1.8890333333333333, 'xsmm_reference_cpu_freq': 0.999999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9911523604329482, 'speedup_best_over_ref': 0.9911523604329482, 'xsmm_custom_avg': 2.614633333333333, 'xsmm_custom_best': 2.614633333333333, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 2.5915000000000004, 'xsmm_reference_best': 2.5915000000000004, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9959530154969893, 'speedup_best_over_ref': 0.9959530154969893, 'xsmm_custom_avg': 1.3508, 'xsmm_custom_best': 1.3508, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 1.3453333333333333, 'xsmm_reference_best': 1.3453333333333333, 'xsmm_reference_cpu_freq': 0.999999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0014935741576936, 'speedup_best_over_ref': 1.0014935741576936, 'xsmm_custom_avg': 0.9596666666666667, 'xsmm_custom_best': 0.9596666666666667, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 0.9611, 'xsmm_reference_best': 0.9611, 'xsmm_reference_cpu_freq': 0.999999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m3.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0147236719317043, 'speedup_best_over_ref': 1.0147236719317043, 'xsmm_custom_avg': 0.9644333333333334, 'xsmm_custom_best': 0.9644333333333334, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 0.9786333333333334, 'xsmm_reference_best': 0.9786333333333334, 'xsmm_reference_cpu_freq': 0.999999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m6.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.022503042216605, 'speedup_best_over_ref': 1.022503042216605, 'xsmm_custom_avg': 1.7805, 'xsmm_custom_best': 1.7805, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 1.8205666666666653, 'xsmm_reference_best': 1.8205666666666653, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m132.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0166466773276472, 'speedup_best_over_ref': 1.0166466773276472, 'xsmm_custom_avg': 3.0016000000000003, 'xsmm_custom_best': 3.0016000000000003, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 3.0515666666666665, 'xsmm_reference_best': 3.0515666666666665, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m460.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9930933755817407, 'speedup_best_over_ref': 0.9930933755817407, 'xsmm_custom_avg': 1.3465333333333334, 'xsmm_custom_best': 1.3465333333333334, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 1.3372333333333333, 'xsmm_reference_best': 1.3372333333333333, 'xsmm_reference_cpu_freq': 0.999999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m0.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0265359100086529, 'speedup_best_over_ref': 1.0265359100086529, 'xsmm_custom_avg': 2.0802, 'xsmm_custom_best': 2.0802, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 2.1353999999999997, 'xsmm_reference_best': 2.1353999999999997, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m3.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.8307212513628915, 'speedup_best_over_ref': 0.8307212513628915, 'xsmm_custom_avg': 5.472433333333333, 'xsmm_custom_best': 5.472433333333333, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 4.5460666666666665, 'xsmm_reference_best': 4.5460666666666665, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m6.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.6786704298272422, 'speedup_best_over_ref': 0.6786704298272422, 'xsmm_custom_avg': 9.271166666666666, 'xsmm_custom_best': 9.271166666666666, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 6.292066666666667, 'xsmm_reference_best': 6.292066666666667, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m132.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9752089575776693, 'speedup_best_over_ref': 0.9752089575776693, 'xsmm_custom_avg': 12.681999999999999, 'xsmm_custom_best': 12.681999999999999, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 12.367600000000001, 'xsmm_reference_best': 12.367600000000001, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m460.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0865615339114518, 'speedup_best_over_ref': 1.0865615339114518, 'xsmm_custom_avg': 5.9734, 'xsmm_custom_best': 5.9734, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 6.490466666666666, 'xsmm_reference_best': 6.490466666666666, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m0.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9056264569915842, 'speedup_best_over_ref': 0.9056264569915842, 'xsmm_custom_avg': 3.374533333333333, 'xsmm_custom_best': 3.374533333333333, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 3.0560666666666667, 'xsmm_reference_best': 3.0560666666666667, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m3.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9906877108861659, 'speedup_best_over_ref': 0.9906877108861659, 'xsmm_custom_avg': 6.0064, 'xsmm_custom_best': 6.0064, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 5.950466666666667, 'xsmm_reference_best': 5.950466666666667, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m6.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.020896989052496, 'speedup_best_over_ref': 1.020896989052496, 'xsmm_custom_avg': 6.5129, 'xsmm_custom_best': 6.5129, 'xsmm_custom_kernel_type': 'wide-sparse', 'xsmm_reference_avg': 6.649000000000001, 'xsmm_reference_best': 6.649000000000001, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
