{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 1.054395054949207, 'speedup_best_over_ref': 1.054395054949207, 'xsmm_custom_avg': 13.233433333333332, 'xsmm_custom_best': 13.233433333333332, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 13.953266666666666, 'xsmm_reference_best': 13.953266666666666, 'xsmm_reference_cpu_freq': 2.499921, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.7604355384756153, 'speedup_best_over_ref': 0.7604355384756153, 'xsmm_custom_avg': 27.322499999999998, 'xsmm_custom_best': 27.322499999999998, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 20.776999999999997, 'xsmm_reference_best': 20.776999999999997, 'xsmm_reference_cpu_freq': 2.499911, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.901941956538487, 'speedup_best_over_ref': 0.901941956538487, 'xsmm_custom_avg': 41.969699999999996, 'xsmm_custom_best': 41.969699999999996, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 37.85423333333333, 'xsmm_reference_best': 37.85423333333333, 'xsmm_reference_cpu_freq': 2.499899, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.8405037615242884, 'speedup_best_over_ref': 0.8405037615242884, 'xsmm_custom_avg': 77.10526666666667, 'xsmm_custom_best': 77.10526666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 64.80726666666666, 'xsmm_reference_best': 64.80726666666666, 'xsmm_reference_cpu_freq': 2.499958, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.9196829679967929, 'speedup_best_over_ref': 0.9196829679967929, 'xsmm_custom_avg': 138.77463333333333, 'xsmm_custom_best': 138.77463333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 127.62866666666667, 'xsmm_reference_best': 127.62866666666667, 'xsmm_reference_cpu_freq': 2.499991, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.7971367467098153, 'speedup_best_over_ref': 0.7971367467098153, 'xsmm_custom_avg': 317.08453333333335, 'xsmm_custom_best': 317.08453333333335, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 252.75973333333334, 'xsmm_reference_best': 252.75973333333334, 'xsmm_reference_cpu_freq': 2.499958, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 105600, 'speedup_avg_over_ref': 1.0564909956032043, 'speedup_best_over_ref': 1.0564909956032043, 'xsmm_custom_avg': 13.835833333333335, 'xsmm_custom_best': 13.835833333333335, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 14.617433333333334, 'xsmm_reference_best': 14.617433333333334, 'xsmm_reference_cpu_freq': 2.49993, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.7454784962865567, 'speedup_best_over_ref': 0.7454784962865567, 'xsmm_custom_avg': 27.050366666666665, 'xsmm_custom_best': 27.050366666666665, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 20.165466666666664, 'xsmm_reference_best': 20.165466666666664, 'xsmm_reference_cpu_freq': 2.499902, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.8739743878825912, 'speedup_best_over_ref': 0.8739743878825912, 'xsmm_custom_avg': 41.540233333333326, 'xsmm_custom_best': 41.540233333333326, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 36.3051, 'xsmm_reference_best': 36.3051, 'xsmm_reference_cpu_freq': 2.499954, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.8580836185770641, 'speedup_best_over_ref': 0.8580836185770641, 'xsmm_custom_avg': 77.40943333333333, 'xsmm_custom_best': 77.40943333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 66.42376666666667, 'xsmm_reference_best': 66.42376666666667, 'xsmm_reference_cpu_freq': 2.499925, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.8554061416945175, 'speedup_best_over_ref': 0.8554061416945175, 'xsmm_custom_avg': 137.46803333333335, 'xsmm_custom_best': 137.46803333333335, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 117.591, 'xsmm_reference_best': 117.591, 'xsmm_reference_cpu_freq': 2.499993, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_1024_p_0.05_uniq_64.txt', 'size_n': 105600, 'speedup_avg_over_ref': 6.023764591470272, 'speedup_best_over_ref': 6.023764591470272, 'xsmm_custom_avg': 318.07966666666664, 'xsmm_custom_best': 318.07966666666664, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1916.0370333333333, 'xsmm_reference_best': 1916.0370333333333, 'xsmm_reference_cpu_freq': 2.499961, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 256, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_256/r_128_c_64_p_0.05_uniq_256.txt', 'size_n': 105600, 'speedup_avg_over_ref': 2.5080859848530315, 'speedup_best_over_ref': 2.5080859848530315, 'xsmm_custom_avg': 27.772333333333332, 'xsmm_custom_best': 27.772333333333332, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 69.6554, 'xsmm_reference_best': 69.6554, 'xsmm_reference_cpu_freq': 2.499917, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 256, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_256/r_128_c_128_p_0.05_uniq_256.txt', 'size_n': 105600, 'speedup_avg_over_ref': 2.8158296195567485, 'speedup_best_over_ref': 2.8158296195567485, 'xsmm_custom_avg': 43.853233333333336, 'xsmm_custom_best': 43.853233333333336, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 123.48323333333333, 'xsmm_reference_best': 123.48323333333333, 'xsmm_reference_cpu_freq': 2.499968, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 256, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_256/r_128_c_256_p_0.05_uniq_256.txt', 'size_n': 105600, 'speedup_avg_over_ref': 3.636541920949547, 'speedup_best_over_ref': 3.636541920949547, 'xsmm_custom_avg': 79.30799999999999, 'xsmm_custom_best': 79.30799999999999, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 288.40686666666664, 'xsmm_reference_best': 288.40686666666664, 'xsmm_reference_cpu_freq': 2.499937, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 256, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_256/r_128_c_512_p_0.05_uniq_256.txt', 'size_n': 105600, 'speedup_avg_over_ref': 5.606685836420758, 'speedup_best_over_ref': 5.606685836420758, 'xsmm_custom_avg': 136.47656666666666, 'xsmm_custom_best': 136.47656666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 765.1812333333334, 'xsmm_reference_best': 765.1812333333334, 'xsmm_reference_cpu_freq': 2.499917, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 256, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_256/r_128_c_1024_p_0.05_uniq_256.txt', 'size_n': 105600, 'speedup_avg_over_ref': 6.060010274970334, 'speedup_best_over_ref': 6.060010274970334, 'xsmm_custom_avg': 317.7300333333333, 'xsmm_custom_best': 317.7300333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1925.4472666666666, 'xsmm_reference_best': 1925.4472666666666, 'xsmm_reference_cpu_freq': 2.499947, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.9843883800336025, 'speedup_best_over_ref': 0.9843883800336025, 'xsmm_custom_avg': 24.601333333333333, 'xsmm_custom_best': 24.601333333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 24.217266666666667, 'xsmm_reference_best': 24.217266666666667, 'xsmm_reference_cpu_freq': 2.499944, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.7117703522497782, 'speedup_best_over_ref': 0.7117703522497782, 'xsmm_custom_avg': 50.457566666666665, 'xsmm_custom_best': 50.457566666666665, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 35.9142, 'xsmm_reference_best': 35.9142, 'xsmm_reference_cpu_freq': 2.499951, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.8550266584784801, 'speedup_best_over_ref': 0.8550266584784801, 'xsmm_custom_avg': 65.18876666666667, 'xsmm_custom_best': 65.18876666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 55.73813333333333, 'xsmm_reference_best': 55.73813333333333, 'xsmm_reference_cpu_freq': 2.500004, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 1.3640568460856013, 'speedup_best_over_ref': 1.3640568460856013, 'xsmm_custom_avg': 90.28590000000001, 'xsmm_custom_best': 90.28590000000001, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 123.1551, 'xsmm_reference_best': 123.1551, 'xsmm_reference_cpu_freq': 2.499941, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 1.072809019274051, 'speedup_best_over_ref': 1.072809019274051, 'xsmm_custom_avg': 114.9006, 'xsmm_custom_best': 114.9006, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 123.2664, 'xsmm_reference_best': 123.2664, 'xsmm_reference_cpu_freq': 2.499969, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.5_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.8661591545954428, 'speedup_best_over_ref': 0.8661591545954428, 'xsmm_custom_avg': 141.91233333333332, 'xsmm_custom_best': 141.91233333333332, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 122.91866666666667, 'xsmm_reference_best': 122.91866666666667, 'xsmm_reference_cpu_freq': 2.499994, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.9053826363796914, 'speedup_best_over_ref': 0.9053826363796914, 'xsmm_custom_avg': 41.901399999999995, 'xsmm_custom_best': 41.901399999999995, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 37.9368, 'xsmm_reference_best': 37.9368, 'xsmm_reference_cpu_freq': 2.49995, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 9830, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5999755859375, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.6_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.7288552236447906, 'speedup_best_over_ref': 0.7288552236447906, 'xsmm_custom_avg': 169.4197, 'xsmm_custom_best': 169.4197, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 123.48243333333333, 'xsmm_reference_best': 123.48243333333333, 'xsmm_reference_cpu_freq': 2.499909, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 11468, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.699951171875, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.7_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.6222300634906606, 'speedup_best_over_ref': 0.6222300634906606, 'xsmm_custom_avg': 197.62486666666666, 'xsmm_custom_best': 197.62486666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 122.96813333333333, 'xsmm_reference_best': 122.96813333333333, 'xsmm_reference_cpu_freq': 2.499967, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 13107, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.79998779296875, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.8_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.5403562604460552, 'speedup_best_over_ref': 0.5403562604460552, 'xsmm_custom_avg': 227.25883333333334, 'xsmm_custom_best': 227.25883333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 122.80073333333333, 'xsmm_reference_best': 122.80073333333333, 'xsmm_reference_cpu_freq': 2.499945, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 14745, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.89996337890625, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.9_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.48222399513615966, 'speedup_best_over_ref': 0.48222399513615966, 'xsmm_custom_avg': 256.36806666666666, 'xsmm_custom_best': 256.36806666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 123.62683333333332, 'xsmm_reference_best': 123.62683333333332, 'xsmm_reference_cpu_freq': 2.499943, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.15_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.7721242114330595, 'speedup_best_over_ref': 0.7721242114330595, 'xsmm_custom_avg': 59.2055, 'xsmm_custom_best': 59.2055, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 45.714000000000006, 'xsmm_reference_best': 45.714000000000006, 'xsmm_reference_cpu_freq': 2.499924, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.25_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 1.0619307319877542, 'speedup_best_over_ref': 1.0619307319877542, 'xsmm_custom_avg': 76.99946666666666, 'xsmm_custom_best': 76.99946666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 81.7681, 'xsmm_reference_best': 81.7681, 'xsmm_reference_cpu_freq': 2.499976, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.025_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.9416959586046926, 'speedup_best_over_ref': 0.9416959586046926, 'xsmm_custom_avg': 37.36333333333334, 'xsmm_custom_best': 37.36333333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 35.1849, 'xsmm_reference_best': 35.1849, 'xsmm_reference_cpu_freq': 2.49997, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 1228, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.074951171875, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.075_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.6784806140693309, 'speedup_best_over_ref': 0.6784806140693309, 'xsmm_custom_avg': 46.366099999999996, 'xsmm_custom_best': 46.366099999999996, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 31.4585, 'xsmm_reference_best': 31.4585, 'xsmm_reference_cpu_freq': 2.499955, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 2048, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.125_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.7680233248976722, 'speedup_best_over_ref': 0.7680233248976722, 'xsmm_custom_avg': 52.739066666666666, 'xsmm_custom_best': 52.739066666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 40.50483333333333, 'xsmm_reference_best': 40.50483333333333, 'xsmm_reference_cpu_freq': 2.49996, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 16384, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 1.0, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_1.0_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.4327663389953671, 'speedup_best_over_ref': 0.4327663389953671, 'xsmm_custom_avg': 283.7633666666667, 'xsmm_custom_best': 283.7633666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 122.80323333333332, 'xsmm_reference_best': 122.80323333333332, 'xsmm_reference_cpu_freq': 2.500005, 'xsmm_reference_kernel_type': 'dense'}
