{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9786028949024544, 'speedup_best_over_ref': 0.9786028949024544, 'xsmm_custom_avg': 0.29131666666666667, 'xsmm_custom_best': 0.29131666666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.28508333333333336, 'xsmm_reference_best': 0.28508333333333336, 'xsmm_reference_cpu_freq': 2.499957, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9781167416199176, 'speedup_best_over_ref': 0.9781167416199176, 'xsmm_custom_avg': 0.14379333333333333, 'xsmm_custom_best': 0.14379333333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.14064666666666667, 'xsmm_reference_best': 0.14064666666666667, 'xsmm_reference_cpu_freq': 2.499981, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9679033235152805, 'speedup_best_over_ref': 0.9679033235152805, 'xsmm_custom_avg': 0.31914000000000003, 'xsmm_custom_best': 0.31914000000000003, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.30889666666666665, 'xsmm_reference_best': 0.30889666666666665, 'xsmm_reference_cpu_freq': 2.499901, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9715764088876402, 'speedup_best_over_ref': 0.9715764088876402, 'xsmm_custom_avg': 0.14237, 'xsmm_custom_best': 0.14237, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.13832333333333333, 'xsmm_reference_best': 0.13832333333333333, 'xsmm_reference_cpu_freq': 2.499983, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9819040672432358, 'speedup_best_over_ref': 0.9819040672432358, 'xsmm_custom_avg': 0.28791, 'xsmm_custom_best': 0.28791, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.2827, 'xsmm_reference_best': 0.2827, 'xsmm_reference_cpu_freq': 2.499919, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9851909234042765, 'speedup_best_over_ref': 0.9851909234042765, 'xsmm_custom_avg': 0.6626566666666668, 'xsmm_custom_best': 0.6626566666666668, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.6528433333333333, 'xsmm_reference_best': 0.6528433333333333, 'xsmm_reference_cpu_freq': 2.499951, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9732013993240957, 'speedup_best_over_ref': 0.9732013993240957, 'xsmm_custom_avg': 0.5612233333333333, 'xsmm_custom_best': 0.5612233333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.5461833333333334, 'xsmm_reference_best': 0.5461833333333334, 'xsmm_reference_cpu_freq': 2.49995, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9905880762709625, 'speedup_best_over_ref': 0.9905880762709625, 'xsmm_custom_avg': 1.1343766666666666, 'xsmm_custom_best': 1.1343766666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.1237000000000001, 'xsmm_reference_best': 1.1237000000000001, 'xsmm_reference_cpu_freq': 2.499968, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9968813779159595, 'speedup_best_over_ref': 0.9968813779159595, 'xsmm_custom_avg': 0.6990266666666666, 'xsmm_custom_best': 0.6990266666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.6968466666666667, 'xsmm_reference_best': 0.6968466666666667, 'xsmm_reference_cpu_freq': 2.499937, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.961722856290747, 'speedup_best_over_ref': 0.961722856290747, 'xsmm_custom_avg': 1.0394366666666668, 'xsmm_custom_best': 1.0394366666666668, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.9996499999999999, 'xsmm_reference_best': 0.9996499999999999, 'xsmm_reference_cpu_freq': 2.499941, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9336577539632942, 'speedup_best_over_ref': 0.9336577539632942, 'xsmm_custom_avg': 0.7521100000000001, 'xsmm_custom_best': 0.7521100000000001, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.7022133333333332, 'xsmm_reference_best': 0.7022133333333332, 'xsmm_reference_cpu_freq': 2.499884, 'xsmm_reference_kernel_type': 'wide-sparse'}
