{'M_BLOCKING=12_avg': 3.1652, 'M_BLOCKING=12_best': 3.1652, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 3.174516666666667, 'M_BLOCKING=16_best': 3.174516666666667, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 3.1166666666666667, 'M_BLOCKING=1_best': 3.1166666666666667, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 3.1182666666666665, 'M_BLOCKING=2_best': 3.1182666666666665, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 3.13635, 'M_BLOCKING=3_best': 3.13635, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 3.1363, 'M_BLOCKING=6_best': 3.1363, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 105600, 'xsmm_reference_avg': 3.05, 'xsmm_reference_best': 3.05, 'xsmm_reference_cpu_freq': 2.999975, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 1.4960666666666667, 'M_BLOCKING=12_best': 1.4960666666666667, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 1.5057333333333343, 'M_BLOCKING=16_best': 1.5057333333333343, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 1.4561833333333332, 'M_BLOCKING=1_best': 1.4561833333333332, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 1.5171666666666668, 'M_BLOCKING=2_best': 1.5171666666666668, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 1.5240833333333332, 'M_BLOCKING=3_best': 1.5240833333333332, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 1.5202, 'M_BLOCKING=6_best': 1.5202, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 105600, 'xsmm_reference_avg': 1.4340166666666667, 'xsmm_reference_best': 1.4340166666666667, 'xsmm_reference_cpu_freq': 2.999973, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 3.5132499999999998, 'M_BLOCKING=12_best': 3.5132499999999998, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 3.4745166666666667, 'M_BLOCKING=16_best': 3.4745166666666667, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 3.3466666666666667, 'M_BLOCKING=1_best': 3.3466666666666667, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 3.3544166666666664, 'M_BLOCKING=2_best': 3.3544166666666664, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 3.3709833333333337, 'M_BLOCKING=3_best': 3.3709833333333337, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 3.410166666666667, 'M_BLOCKING=6_best': 3.410166666666667, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 105600, 'xsmm_reference_avg': 3.2424000000000004, 'xsmm_reference_best': 3.2424000000000004, 'xsmm_reference_cpu_freq': 2.999943, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 1.48695, 'M_BLOCKING=12_best': 1.48695, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 1.4946333333333333, 'M_BLOCKING=16_best': 1.4946333333333333, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 1.4468333333333334, 'M_BLOCKING=1_best': 1.4468333333333334, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 1.50895, 'M_BLOCKING=2_best': 1.50895, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 1.5175666666666667, 'M_BLOCKING=3_best': 1.5175666666666667, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 1.5257833333333333, 'M_BLOCKING=6_best': 1.5257833333333333, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 105600, 'xsmm_reference_avg': 1.4222999999999995, 'xsmm_reference_best': 1.4222999999999995, 'xsmm_reference_cpu_freq': 2.999925, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 3.181466666666667, 'M_BLOCKING=12_best': 3.181466666666667, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 3.1701333333333332, 'M_BLOCKING=16_best': 3.1701333333333332, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 3.0635833333333333, 'M_BLOCKING=1_best': 3.0635833333333333, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 3.0888666666666666, 'M_BLOCKING=2_best': 3.0888666666666666, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 3.0925000000000002, 'M_BLOCKING=3_best': 3.0925000000000002, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 3.0901833333333335, 'M_BLOCKING=6_best': 3.0901833333333335, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 105600, 'xsmm_reference_avg': 3.0383833333333334, 'xsmm_reference_best': 3.0383833333333334, 'xsmm_reference_cpu_freq': 2.999941, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 6.9564666666666675, 'M_BLOCKING=12_best': 6.9564666666666675, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 6.984783333333334, 'M_BLOCKING=16_best': 6.984783333333334, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 6.99885, 'M_BLOCKING=1_best': 6.99885, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 6.985616666666667, 'M_BLOCKING=2_best': 6.985616666666667, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 6.955416666666667, 'M_BLOCKING=3_best': 6.955416666666667, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 6.995666666666667, 'M_BLOCKING=6_best': 6.995666666666667, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 105600, 'xsmm_reference_avg': 6.925766666666666, 'xsmm_reference_best': 6.925766666666666, 'xsmm_reference_cpu_freq': 2.999938, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 8.50505, 'M_BLOCKING=12_best': 8.50505, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 9.246183333333333, 'M_BLOCKING=16_best': 9.246183333333333, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 8.37485, 'M_BLOCKING=1_best': 8.37485, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 8.384766666666668, 'M_BLOCKING=2_best': 8.384766666666668, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 8.571216666666666, 'M_BLOCKING=3_best': 8.571216666666666, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 8.688766666666668, 'M_BLOCKING=6_best': 8.688766666666668, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 105600, 'xsmm_reference_avg': 9.401383333333335, 'xsmm_reference_best': 9.401383333333335, 'xsmm_reference_cpu_freq': 2.999954, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 14.77735, 'M_BLOCKING=12_best': 14.77735, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 14.773050000000001, 'M_BLOCKING=16_best': 14.773050000000001, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 15.030733333333334, 'M_BLOCKING=1_best': 15.030733333333334, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 15.077866666666667, 'M_BLOCKING=2_best': 15.077866666666667, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 14.859433333333333, 'M_BLOCKING=3_best': 14.859433333333333, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 14.747483333333333, 'M_BLOCKING=6_best': 14.747483333333333, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 105600, 'xsmm_reference_avg': 15.403983333333334, 'xsmm_reference_best': 15.403983333333334, 'xsmm_reference_cpu_freq': 2.999969, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 12.669033333333335, 'M_BLOCKING=12_best': 12.669033333333335, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 12.297149999999998, 'M_BLOCKING=16_best': 12.297149999999998, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 12.813916666666668, 'M_BLOCKING=1_best': 12.813916666666668, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 12.859283333333334, 'M_BLOCKING=2_best': 12.859283333333334, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 13.128783333333333, 'M_BLOCKING=3_best': 13.128783333333333, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 12.7614, 'M_BLOCKING=6_best': 12.7614, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 105600, 'xsmm_reference_avg': 12.1289, 'xsmm_reference_best': 12.1289, 'xsmm_reference_cpu_freq': 2.999994, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 11.251716666666669, 'M_BLOCKING=12_best': 11.251716666666669, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 11.028216666666667, 'M_BLOCKING=16_best': 11.028216666666667, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 10.953683333333334, 'M_BLOCKING=1_best': 10.953683333333334, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 10.928033333333333, 'M_BLOCKING=2_best': 10.928033333333333, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 10.986266666666667, 'M_BLOCKING=3_best': 10.986266666666667, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 11.086633333333333, 'M_BLOCKING=6_best': 11.086633333333333, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 105600, 'xsmm_reference_avg': 10.697466666666665, 'xsmm_reference_best': 10.697466666666665, 'xsmm_reference_cpu_freq': 2.999989, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 7.885800000000001, 'M_BLOCKING=12_best': 7.885800000000001, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 7.62, 'M_BLOCKING=16_best': 7.62, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 7.7839, 'M_BLOCKING=1_best': 7.7839, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 7.783733333333333, 'M_BLOCKING=2_best': 7.783733333333333, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 7.8402, 'M_BLOCKING=3_best': 7.8402, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 7.810683333333333, 'M_BLOCKING=6_best': 7.810683333333333, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 105600, 'xsmm_reference_avg': 7.405433333333334, 'xsmm_reference_best': 7.405433333333334, 'xsmm_reference_cpu_freq': 2.999922, 'xsmm_reference_kernel_type': 'wide-sparse'}
