{'M_BLOCKING=16_avg': 11.3155, 'M_BLOCKING=16_best': 11.3155, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 10.7034, 'M_BLOCKING=1_best': 10.7034, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 10.6294, 'M_BLOCKING=2_best': 10.6294, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 11.526399999999999, 'M_BLOCKING=31_best': 11.526399999999999, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 10.862300000000001, 'M_BLOCKING=4_best': 10.862300000000001, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 11.2241, 'M_BLOCKING=8_best': 11.2241, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 33600, 'xsmm_reference_avg': 1.1816, 'xsmm_reference_best': 1.1816, 'xsmm_reference_cpu_freq': 3.000015, 'xsmm_reference_kernel_type': 'dense'}
{'M_BLOCKING=16_avg': 10.156600000000001, 'M_BLOCKING=16_best': 10.156600000000001, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 10.1413, 'M_BLOCKING=1_best': 10.1413, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 10.1507, 'M_BLOCKING=2_best': 10.1507, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 10.206900000000001, 'M_BLOCKING=31_best': 10.206900000000001, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 10.205400000000001, 'M_BLOCKING=4_best': 10.205400000000001, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 10.177800000000001, 'M_BLOCKING=8_best': 10.177800000000001, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 33600, 'xsmm_reference_avg': 0.5349, 'xsmm_reference_best': 0.5349, 'xsmm_reference_cpu_freq': 2.999958, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 10.6653, 'M_BLOCKING=16_best': 10.6653, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 10.6135, 'M_BLOCKING=1_best': 10.6135, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 10.7682, 'M_BLOCKING=2_best': 10.7682, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 11.7985, 'M_BLOCKING=31_best': 11.7985, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 10.9351, 'M_BLOCKING=4_best': 10.9351, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 11.682500000000001, 'M_BLOCKING=8_best': 11.682500000000001, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 33600, 'xsmm_reference_avg': 1.1487, 'xsmm_reference_best': 1.1487, 'xsmm_reference_cpu_freq': 2.999899, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 9.6779, 'M_BLOCKING=16_best': 9.6779, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 9.090300000000001, 'M_BLOCKING=1_best': 9.090300000000001, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 9.092400000000001, 'M_BLOCKING=2_best': 9.092400000000001, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 9.49, 'M_BLOCKING=31_best': 9.49, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 9.300799999999999, 'M_BLOCKING=4_best': 9.300799999999999, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 9.5289, 'M_BLOCKING=8_best': 9.5289, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 33600, 'xsmm_reference_avg': 0.47800000000000004, 'xsmm_reference_best': 0.47800000000000004, 'xsmm_reference_cpu_freq': 2.999853, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 11.0838, 'M_BLOCKING=16_best': 11.0838, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 10.126800000000003, 'M_BLOCKING=1_best': 10.126800000000003, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 10.1518, 'M_BLOCKING=2_best': 10.1518, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 10.6009, 'M_BLOCKING=31_best': 10.6009, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 10.179300000000001, 'M_BLOCKING=4_best': 10.179300000000001, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 10.2235, 'M_BLOCKING=8_best': 10.2235, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 33600, 'xsmm_reference_avg': 0.9616, 'xsmm_reference_best': 0.9616, 'xsmm_reference_cpu_freq': 2.999931, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=16_avg': 11.5988, 'M_BLOCKING=16_best': 11.5988, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 10.3398, 'M_BLOCKING=1_best': 10.3398, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 11.406299999999998, 'M_BLOCKING=2_best': 11.406299999999998, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 11.847100000000001, 'M_BLOCKING=31_best': 11.847100000000001, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 11.5074, 'M_BLOCKING=4_best': 11.5074, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 11.5042, 'M_BLOCKING=8_best': 11.5042, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 33600, 'xsmm_reference_avg': 2.1978999999999997, 'xsmm_reference_best': 2.1978999999999997, 'xsmm_reference_cpu_freq': 2.999935, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 34.511700000000005, 'M_BLOCKING=16_best': 34.511700000000005, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 34.0013, 'M_BLOCKING=1_best': 34.0013, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 33.874, 'M_BLOCKING=2_best': 33.874, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 34.364599999999996, 'M_BLOCKING=31_best': 34.364599999999996, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 34.0322, 'M_BLOCKING=4_best': 34.0322, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 34.0933, 'M_BLOCKING=8_best': 34.0933, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 33600, 'xsmm_reference_avg': 2.2755, 'xsmm_reference_best': 2.2755, 'xsmm_reference_cpu_freq': 2.999803, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 34.393899999999995, 'M_BLOCKING=16_best': 34.393899999999995, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 33.899, 'M_BLOCKING=1_best': 33.899, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 34.2733, 'M_BLOCKING=2_best': 34.2733, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 34.9067, 'M_BLOCKING=31_best': 34.9067, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 34.1986, 'M_BLOCKING=4_best': 34.1986, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 34.2235, 'M_BLOCKING=8_best': 34.2235, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 33600, 'xsmm_reference_avg': 4.8142000000000005, 'xsmm_reference_best': 4.8142000000000005, 'xsmm_reference_cpu_freq': 2.9999, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=16_avg': 45.4068, 'M_BLOCKING=16_best': 45.4068, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 44.989700000000006, 'M_BLOCKING=1_best': 44.989700000000006, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 45.1002, 'M_BLOCKING=2_best': 45.1002, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 45.731, 'M_BLOCKING=31_best': 45.731, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 45.37859999999999, 'M_BLOCKING=4_best': 45.37859999999999, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 45.341699999999996, 'M_BLOCKING=8_best': 45.341699999999996, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 33600, 'xsmm_reference_avg': 4.1787, 'xsmm_reference_best': 4.1787, 'xsmm_reference_cpu_freq': 2.999926, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 45.6365, 'M_BLOCKING=16_best': 45.6365, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 45.09009999999999, 'M_BLOCKING=1_best': 45.09009999999999, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 45.261700000000005, 'M_BLOCKING=2_best': 45.261700000000005, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 46.3281, 'M_BLOCKING=31_best': 46.3281, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 45.685199999999995, 'M_BLOCKING=4_best': 45.685199999999995, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 45.555099999999996, 'M_BLOCKING=8_best': 45.555099999999996, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 33600, 'xsmm_reference_avg': 3.4457999999999998, 'xsmm_reference_best': 3.4457999999999998, 'xsmm_reference_cpu_freq': 2.999965, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=16_avg': 34.2333, 'M_BLOCKING=16_best': 34.2333, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 33.8667, 'M_BLOCKING=1_best': 33.8667, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 33.9738, 'M_BLOCKING=2_best': 33.9738, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 34.4832, 'M_BLOCKING=31_best': 34.4832, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 34.053399999999996, 'M_BLOCKING=4_best': 34.053399999999996, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 34.230599999999995, 'M_BLOCKING=8_best': 34.230599999999995, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 33600, 'xsmm_reference_avg': 2.4406, 'xsmm_reference_best': 2.4406, 'xsmm_reference_cpu_freq': 2.999953, 'xsmm_reference_kernel_type': 'sparse'}
