{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats_small/hex/p1/gauss-legendre/m0.txt', 'speedup_avg_over_ref': 1.0023167171782899, 'speedup_best_over_ref': 1.0027257859349445, 'xsmm_custom_avg': 5.602395833333335, 'xsmm_custom_best': 5.503, 'xsmm_reference_avg': 5.615374999999998, 'xsmm_reference_best': 5.518}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats_small/hex/p1/gauss-legendre/m3.txt', 'speedup_avg_over_ref': 0.949861318540644, 'speedup_best_over_ref': 1.0227864583333333, 'xsmm_custom_avg': 3.417604166666667, 'xsmm_custom_best': 3.072, 'xsmm_reference_avg': 3.2462499999999994, 'xsmm_reference_best': 3.142}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats_small/hex/p1/gauss-legendre/m6.txt', 'speedup_avg_over_ref': 0.9724596787122841, 'speedup_best_over_ref': 0.9777100705580501, 'xsmm_custom_avg': 6.497291666666666, 'xsmm_custom_best': 6.236, 'xsmm_reference_avg': 6.3183541666666665, 'xsmm_reference_best': 6.097}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats_small/hex/p1/gauss-legendre/m132.txt', 'speedup_avg_over_ref': 1.0139605865569639, 'speedup_best_over_ref': 1.0066379024228345, 'xsmm_custom_avg': 3.1397916666666674, 'xsmm_custom_best': 3.013, 'xsmm_reference_avg': 3.183625000000001, 'xsmm_reference_best': 3.033}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats_small/hex/p1/gauss-legendre/m460.txt', 'speedup_avg_over_ref': 1.0103760772951151, 'speedup_best_over_ref': 1.0010768126346017, 'xsmm_custom_avg': 5.6299375, 'xsmm_custom_best': 5.572, 'xsmm_reference_avg': 5.6883541666666675, 'xsmm_reference_best': 5.578}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg_over_ref': 1.0131849769029926, 'speedup_best_over_ref': 1.019817552689525, 'xsmm_custom_avg': 12.966145833333334, 'xsmm_custom_best': 12.716, 'xsmm_reference_avg': 13.137104166666667, 'xsmm_reference_best': 12.968}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg_over_ref': 1.0600417071005304, 'speedup_best_over_ref': 1.0480442642708447, 'xsmm_custom_avg': 19.171395833333335, 'xsmm_custom_best': 18.254, 'xsmm_reference_avg': 20.322479166666664, 'xsmm_reference_best': 19.131}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg_over_ref': 1.0064535899162494, 'speedup_best_over_ref': 1.006850416492458, 'xsmm_custom_avg': 31.681333333333342, 'xsmm_custom_best': 31.093, 'xsmm_reference_avg': 31.885791666666677, 'xsmm_reference_best': 31.306}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg_over_ref': 1.0064432364753757, 'speedup_best_over_ref': 0.9834772947206194, 'xsmm_custom_avg': 28.353374999999996, 'xsmm_custom_best': 27.901, 'xsmm_reference_avg': 28.5360625, 'xsmm_reference_best': 27.44}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg_over_ref': 1.005220514038108, 'speedup_best_over_ref': 1.0091919726647096, 'xsmm_custom_avg': 21.058749999999993, 'xsmm_custom_best': 20.779, 'xsmm_reference_avg': 21.1686875, 'xsmm_reference_best': 20.97}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre/m0.txt', 'speedup_avg_over_ref': 1.000200570751669, 'speedup_best_over_ref': 1.0023762376237646, 'xsmm_custom_avg': 15.476666666666672, 'xsmm_custom_best': 15.15, 'xsmm_reference_avg': 15.479770833333335, 'xsmm_reference_best': 15.186000000000035}
