{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'speedup_avg_over_ref': 1.002322054246499, 'speedup_best_over_ref': 1.0029352412401393, 'xsmm_custom_avg': 5.535687499999999, 'xsmm_custom_best': 5.451, 'xsmm_reference_avg': 5.548541666666666, 'xsmm_reference_best': 5.467}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'speedup_avg_over_ref': 1.0887398522240683, 'speedup_best_over_ref': 1.0463150777552401, 'xsmm_custom_avg': 3.0846249999999995, 'xsmm_custom_best': 2.958, 'xsmm_reference_avg': 3.358354166666666, 'xsmm_reference_best': 3.095}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'speedup_avg_over_ref': 0.996185897220674, 'speedup_best_over_ref': 0.9918536990856194, 'xsmm_custom_avg': 6.205041666666667, 'xsmm_custom_best': 6.015, 'xsmm_reference_avg': 6.181375, 'xsmm_reference_best': 5.966}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'speedup_avg_over_ref': 0.9972896154683165, 'speedup_best_over_ref': 0.9815115147583521, 'xsmm_custom_avg': 3.159145833333334, 'xsmm_custom_best': 3.083, 'xsmm_reference_avg': 3.150583333333335, 'xsmm_reference_best': 3.026}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'speedup_avg_over_ref': 0.9990484102409183, 'speedup_best_over_ref': 0.9825335539621254, 'xsmm_custom_avg': 5.517083333333333, 'xsmm_custom_best': 5.439, 'xsmm_reference_avg': 5.511833333333333, 'xsmm_reference_best': 5.344}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg_over_ref': 1.0319101501159953, 'speedup_best_over_ref': 1.0256228876837223, 'xsmm_custom_avg': 12.895583333333335, 'xsmm_custom_best': 12.723, 'xsmm_reference_avg': 13.30708333333333, 'xsmm_reference_best': 13.049}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg_over_ref': 1.0021724820322588, 'speedup_best_over_ref': 1.0058279420413838, 'xsmm_custom_avg': 20.128666666666668, 'xsmm_custom_best': 18.703, 'xsmm_reference_avg': 20.17239583333333, 'xsmm_reference_best': 18.812}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg_over_ref': 1.0009514991697381, 'speedup_best_over_ref': 1.0101366523384872, 'xsmm_custom_avg': 31.70435416666666, 'xsmm_custom_best': 31.174, 'xsmm_reference_avg': 31.73452083333333, 'xsmm_reference_best': 31.49}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg_over_ref': 1.01224646971816, 'speedup_best_over_ref': 1.0095161701972508, 'xsmm_custom_avg': 27.916208333333334, 'xsmm_custom_best': 27.427, 'xsmm_reference_avg': 28.258083333333342, 'xsmm_reference_best': 27.688}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg_over_ref': 1.0159506167854477, 'speedup_best_over_ref': 1.0114554266412104, 'xsmm_custom_avg': 20.637916666666666, 'xsmm_custom_best': 20.427, 'xsmm_reference_avg': 20.967104166666672, 'xsmm_reference_best': 20.661}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'speedup_avg_over_ref': 1.0017828407681684, 'speedup_best_over_ref': 1.0114659022731818, 'xsmm_custom_avg': 15.354708333333333, 'xsmm_custom_best': 15.001, 'xsmm_reference_avg': 15.382083333333334, 'xsmm_reference_best': 15.173}
