quad,1,2,4,6,8,10,12,14,16
1,0.981526878,0.974797276,0.965464883,0.957924865,0.972981699,0.969671591,0.939233265,0.960092001,0.970192702
2,0.995169647,0.988359781,0.971708259,0.907739097,0.93640346,0.917912751,,,
3,1.026092162,1.008027214,0.953692116,0.954910688,0.934636409,,,,
,,,,,,,,,
,,,,,,,,,
hex,1,2,4,6,8,10,12,14,16
1,0.991934815,0.986697138,0.971916285,0.968615434,0.971510522,0.963442001,0.956497435,0.968039396,0.971325491
2,0.958877823,0.961839992,0.952575365,0.90167018,0.907824583,0.906879097,,,
3,1.000738234,0.998527592,0.954187448,0.945894443,0.920113789,,,,
,,,,,,,,,
,,,,,,,,,
tet,1,2,4,6,8,10,12,14,16
1,0.590176319,0.738127683,0.725529925,0.769784435,0.788450212,0.799992354,0.756174862,0.79422933,0.81602024
2,0.718577042,0.775738609,0.844267369,0.763608801,0.811095926,0.835165702,,,
3,0.737993116,0.812805534,0.789610173,0.857394731,0.858572402,,,,
,,,,,,,,,
,,,,,,,,,
tri,1,2,4,6,8,10,12,14,16
1,0.854747829,0.991723521,1.043025078,1.016590015,1.02330593,1.004538372,0.870870983,0.861465088,0.880786551
2,0.972400839,1.097952758,1.102117136,0.903853575,0.924559379,0.940793045,,,
3,1.053087115,1.11128094,0.942272929,0.995068959,0.924198071,,,,
,,,,,,,,,
,,,,,,,,,
avg,1,2,4,6,8,10,12,14,16
1,0.849849618,0.912777227,0.90018134,0.912824951,0.921743388,0.919945846,0.896527504,0.916784521,0.926736969
2,0.891059836,0.914587378,0.928864057,0.865236175,0.885084747,0.890363246,,,
3,0.924367375,0.949508083,0.908392871,0.924721569,0.905531556,,,,
